density,dual2,n,instance_id,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dist_type,n_base,dual1,opt_mc,length,sdp_orig,lp_cons,m_base,p_star,m,dsrse_weight,weight_mode,alpha_pes,alpha_over_opt,lp_cons_over_opt,lp_orig_over_opt,sdp_orig_over_opt,dual1_over_opt,dual2_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,alpha_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,mu_pes_bound,alpha_pes_over_pstar,alpha_pes_over_pstar_over_opt,mu_pes_bound_over_opt,alpha_pes_over_pstar_gap,mu_pes_bound_gap,mu_pes_bound_1
dense,1.840159535167158,8,3,1.1579301344585644,1.3987452171768358,0.969610852794674,1.0827458088451618,uniform,8,2.4972618523768886,1.220214220772554,long,NaN,1.083715419697954,12,0.071,23,1.1770657280850458,uniform01,0.9696108527946764,0.7946234655262311,0.8881353792220364,1.146311191399858,NaN,2.046576584557257,1.508062685912723,0.7946234655262291,0.8873407557565124,0.9646385921808144,0.9489564330150524,0.2053765344737689,0.11186462077796355,0.14631119139985804,NaN,1.0465765845572572,0.5080626859127231,0.2053765344737709,0.11265924424348761,0.03536140781918562,0.05104356698494761,NaN,13.656490884432063,11.1918797961441,1.6648321848609358,10.1918797961441,0.6648321848609358,2.0314519071671553
sparse,1.1357066056922422,4,3,0.7745111160435136,0.7836294169711218,0.6658649235619847,0.6658649235619847,uniform,8,1.3782323762615427,0.7788067854600854,long,NaN,0.6658649235619857,12,0.082,23,0.7701632532959639,uniform01,0.6658649235619857,0.8549808964088845,0.8549808964088845,1.006192333709814,NaN,1.7696717619728268,1.4582649084410786,0.8549808964088833,0.8549808964088833,0.9889015705493432,0.9944842937981927,0.14501910359111547,0.14501910359111547,0.00619233370981398,NaN,0.7696717619728268,0.4582649084410786,0.1450191035911167,0.1450191035911167,0.011098429450656755,0.005515706201807302,NaN,8.120303945877874,10.426596297669324,1.753018972391739,9.426596297669324,0.7530189723917391,1.3652630707389526
dense,1.898735520509567,8,4,1.375993999990098,1.734402363889762,1.1753167333383954,1.1753167333383954,uniform,8,2.0342038854225875,1.5350933230898427,short,NaN,1.3866665702395942,12,0.248,12,1.3778145859377304,uniform01,1.1753167333383958,0.7656321056577284,0.9033109253895427,1.12983512976185,NaN,1.3251336937145508,1.2368860524308605,0.7656321056577281,0.7656321056577281,0.8975445109515942,0.8963585335779399,0.23436789434227157,0.09668907461045728,0.12983512976185008,NaN,0.3251336937145508,0.23688605243086047,0.2343678943422719,0.2343678943422719,0.10245548904840585,0.10364146642206007,NaN,4.739180376364499,3.08722623249084,2.257769380765529,2.08722623249084,1.257769380765529,3.4658867014898522
sparse,1.3281066169203382,4,4,0.8408152672684904,1.0045454828664537,0.6974846476517217,0.6974846476517217,uniform,8,1.4399587843602142,0.9264775354078525,short,NaN,0.7801047715702605,12,0.254,12,0.8521970291567166,uniform01,0.6974846476517236,0.7528349269091322,0.8420115348256598,1.0842631844540453,NaN,1.554229573117839,1.4335011548182668,0.7528349269091301,0.7528349269091301,0.9198248166714196,0.9075398324670096,0.24716507309086777,0.15798846517434018,0.08426318445404535,NaN,0.554229573117839,0.4335011548182668,0.24716507309086988,0.24716507309086988,0.08017518332858042,0.09246016753299036,NaN,2.746002549809935,2.9639170350753234,1.8610954369750772,1.9639170350753234,0.8610954369750772,1.7242631136074698
dense,1.719436901150628,8,4,0.8961789582157644,0.9923038716023856,0.7006977746433861,0.7006977746433861,uniform,8,2.083523840842296,0.9597789640827604,long,NaN,0.8141355084438102,12,0.148,15,0.8465302335084061,uniform01,0.7006977746433847,0.7300616088340987,0.8482531279708361,1.0338879145478133,NaN,2.170837160234569,1.7914925889148403,0.7300616088341002,0.7300616088341002,0.8820054045645982,0.9337347365934644,0.26993839116590135,0.15174687202916393,0.03388791454781326,NaN,1.1708371602345689,0.7914925889148403,0.2699383911658998,0.2699383911658998,0.1179945954354018,0.0662652634065356,NaN,4.734444423266113,4.932848708338504,3.0939960000925746,3.932848708338504,2.0939960000925746,2.9695522758450554
sparse,1.133971972921177,4,4,0.7139575503678393,0.7710274481760306,0.6974846476517217,0.6974846476517217,uniform,8,1.3799960534454028,0.7144043266636124,long,NaN,0.6974846476517236,12,0.125,15,0.7188106142022593,uniform01,0.6974846476517236,0.9763163822216663,0.9763163822216663,1.0792592085449113,NaN,1.931673706247294,1.5872971797595565,0.9763163822216636,0.9763163822216636,1.0061677783493068,0.9993746170353424,0.02368361777833372,0.02368361777833372,0.07925920854491131,NaN,0.931673706247294,0.5872971797595565,0.023683617778336385,0.023683617778336385,0.006167778349306818,0.0006253829646576392,NaN,5.579877181213789,7.81053105777333,2.296130089432879,6.81053105777333,1.296130089432879,1.6403652704733562
dense,2.646217459003171,8,5,1.6896107223635366,1.730133902411542,1.6127869569060922,1.6675061596573715,uniform,8,2.9317783332060343,1.7087958690924516,short,NaN,1.6786344877269772,12,0.194,12,1.6246286869272524,uniform01,1.6786344877269772,0.9823493362132872,0.9823493362132872,1.012487175153591,NaN,1.7156983968852368,1.5485860580928181,0.9438148734305226,0.975836956197109,0.9507447415530675,0.9887727100258591,0.01765066378671276,0.01765066378671276,0.012487175153591101,NaN,0.7156983968852368,0.5485860580928181,0.056185126569477384,0.024163043802891027,0.04925525844693246,0.011227289974140908,NaN,8.652755091376171,5.06365637223344,1.8054611787301067,4.06365637223344,0.8054611787301067,3.085164604020795
sparse,1.8618628299868434,4,5,1.4877336207240464,1.48773362072405,1.4877336207240464,1.4877336207240464,uniform,8,2.063248564987715,1.4877336207240464,short,NaN,1.48773362072405,12,0.326,12,1.4877336207240464,uniform01,1.48773362072405,1.0000000000000024,1.0000000000000024,1.0000000000000024,NaN,1.3868400473356102,1.251475939006283,1.0,1.0,1.0,1.0,2.4424906541753444e-15,2.4424906541753444e-15,2.4424906541753444e-15,NaN,0.38684004733561017,0.25147593900628307,0.0,0.0,0.0,0.0,NaN,4.563600063570705,3.0674846625766943,2.5247152385635236,2.0674846625766943,1.5247152385635236,3.7561037431652853
dense,2.346042381993813,8,5,1.6675061596573715,1.6675061596573726,1.6127869569060922,1.6675061596573715,uniform,8,2.6930156004386907,1.6675061596573715,long,NaN,1.6675061596573726,12,0.111,18,1.6127869569060922,uniform01,1.6675061596573726,1.0000000000000007,1.0000000000000007,1.0000000000000007,NaN,1.614995893623586,1.406916771135564,0.9671850071231385,1.0,0.9671850071231385,1.0,6.661338147750939e-16,6.661338147750939e-16,6.661338147750939e-16,NaN,0.614995893623586,0.4069167711355639,0.032814992876861515,0.0,0.032814992876861515,0.0,NaN,15.022578014931284,9.009009009009015,1.9543742542287392,8.009009009009015,0.9543742542287392,3.2589311072022045
sparse,1.669176520260843,4,5,1.3766569539853637,1.408789382750315,1.3699426213063557,0.8992900610480069,uniform,8,1.7563017275696093,1.3789057371016102,long,NaN,1.3762416052324384,12,0.199,18,1.37596351930323,uniform01,0.8992900610480088,0.6521766041370389,0.9980679376425167,1.0216720003729325,NaN,1.2736923781760936,1.2105080683538,0.9934998342859211,0.6521766041370376,0.9978662661854141,0.9983691538473302,0.34782339586296107,0.0019320623574833329,0.021672000372932487,NaN,0.2736923781760936,0.2105080683538001,0.006500165714078854,0.3478233958629624,0.0021337338145859253,0.0016308461526698403,NaN,4.519045532904567,3.277269367522809,2.0784132669508066,2.277269367522809,1.0784132669508066,2.8659359778665676
