n_base, m_base, density, length, weight_mode, dist_type, alpha_pes_gap       , lp_cons_gap          , lp_orig_gap         , dual1_gap          , dual2_gap          , cdsrse_weight_gap   , cdsrse_ratio_gap    , dsrse_weight_gap      , dsrse_ratio_gap
     8,     12, dense  , long  , uniform01  , uniform  , -0.12214502781735265, -0.05135014094923931 , 0.05569324547343027 , 0.7399029576430454 , 0.4584774571711193 , -0.08391853556013945, -0.12220829097428615, -0.02772514932335152  , -0.060196227734992586
     8,     12, dense  , short , uniform01  , uniform  , -0.13944374399754786, -0.04445778127610622 , 0.04635989223681854 , 0.4322500255048071 , 0.31938431183909205, -0.11519116439740291, -0.14879860811794393, -0.022015884803709408 , -0.0696587521253171
     8,     12, sparse , long  , uniform01  , uniform  , -0.0865607414088762 , -0.021426617871364524, 0.0259549633455979  , 0.7925959860353962 , 0.5139039394415204 , -0.04437493349699115, -0.12649705542956022, -0.0021739286982208656, -0.05745869786627167
     8,     12, sparse , short , uniform01  , uniform  , -0.10787632830528808, -0.04062856469069454 , 0.022755040910178922, 0.5246292038916479 , 0.3695956390360564 , -0.0743645716857728 , -0.14117736114151097, -0.007309866282577933 , -0.05835943888736587
    10,     15, dense  , long  , uniform01  , uniform  , -0.14030433995727035, -0.06099979841969356 , 0.061246319780662174, 0.7689621689371614 , 0.5254395347993451 , -0.11520187377447026, -0.19359767559188482, -0.03625634696768042  , -0.09850359698250213
    10,     15, dense  , short , uniform01  , uniform  , -0.15024672786990462, -0.03732788567608585 , 0.04886777262361608 , 0.4516805037048653 , 0.3684471644607026 , -0.11841488132393096, -0.16161871269430306, -0.026303618054869696 , -0.06856908866483037
    10,     15, sparse , long  , uniform01  , uniform  , -0.0918088671312493 , -0.03806403902122319 , 0.04036774613859546 , 0.8220021144753136 , 0.54722508998613   , -0.065541354311706  , -0.16582023898923587, -0.02323600678671637  , -0.11175969232665997
    10,     15, sparse , short , uniform01  , uniform  , -0.1253144669252779 , -0.03224126728347007 , 0.0333552038386092  , 0.5552081169184141 , 0.4308954763519021 , -0.11162098333634482, -0.1932267761666183 , -0.021647591675231264 , -0.10882611386119417
    12,     18, dense  , long  , uniform01  , uniform  , -0.17920915953746294, -0.06399396791172601 , 0.0686898769140757  , 0.789548716903532  , 0.5368922408024599 , -0.14424501156520303, -0.24231796098737787, -0.04500981098644213  , -0.09709844421871777
    12,     18, dense  , short , uniform01  , uniform  , -0.16599805815102575, -0.05740075287499802 , 0.05974541797398089 , 0.4618583549305168 , 0.3641898513237342 , -0.13160623337393493, -0.19834406902007543, -0.03878949459727131  , -0.079624004654141
    12,     18, sparse , long  , uniform01  , uniform  , -0.14322493689298246, -0.0372348167141642  , 0.04482065085946078 , 0.8037139951238733 , 0.518994411342593  , -0.08102083438137105, -0.2098287977082305 , -0.018530639312213774 , -0.0875278711778605
    12,     18, sparse , short , uniform01  , uniform  , -0.1330088477909824 , -0.035508470903916386, 0.046299443586899226, 0.5248341280879    , 0.3795059901649395 , -0.09441105561492176, -0.154748108527518  , -0.011693197020816356 , -0.05938722387011609
    14,     21, dense  , long  , uniform01  , uniform  , -0.13419376039300293, -0.04347382463964153 , 0.06551316698144653 , 0.8125241329578187 , 0.5358504533375199 , -0.12477378347436904, -0.1617901178147028 , -0.053512166567497445 , -0.0899494539757231
    14,     21, dense  , short , uniform01  , uniform  , -0.14640604631462006, -0.04743041243316101 , 0.06411161893287165 , 0.47061927619239535, 0.3819377164631439 , -0.1254866311652448 , -0.1619270510666323 , -0.03956427925289376  , -0.07219421968724239
    14,     21, sparse , long  , uniform01  , uniform  , -0.08681910459874423, -0.03746920545768082 , 0.040838546774210345, 0.7570825083514044 , 0.5160070996744385 , -0.06433648056504429, -0.1295865521382858 , -0.013416177610750002 , -0.062357206137366956
    14,     21, sparse , short , uniform01  , uniform  , -0.11547824642284475, -0.020510629297051684, 0.04083964535363963 , 0.499649886137463  , 0.374492011894981  , -0.06610672917650263, -0.11254928878176991, -0.009280215257683326 , -0.047152777094745205
    16,     24, dense  , long  , uniform01  , uniform  , -0.19556829272526857, -0.06444838387594012 , 0.08656860280191384 , 0.8882040997564312 , 0.5675258139398088 , -0.16374857202782347, -0.23887150055322723, -0.0636027659048607   , -0.09720832119336767
    16,     24, dense  , short , uniform01  , uniform  , -0.18158302601739065, -0.06273497451527357 , 0.08282891778044453 , 0.5236395091049394 , 0.41866483381642916, -0.16936547134654206, -0.21364289060835778, -0.06014591439532459  , -0.08539613281159476
    16,     24, sparse , long  , uniform01  , uniform  , -0.1422739676961932 , -0.049849326028117126, 0.0645007464744099  , 0.8858503359796628 , 0.5690592317659864 , -0.10976893793094612, -0.2131590579686141 , -0.0321794176097417   , -0.08962094576411081
    16,     24, sparse , short , uniform01  , uniform  , -0.17689071134289897, -0.04069209925653436 , 0.058656372813600935, 0.5735030250056039 , 0.4309384625938137 , -0.12241896949853294, -0.19487946878285786, -0.03650148878050145  , -0.07317260679360547
    18,     27, dense  , long  , uniform01  , uniform  , -0.1770791913588815 , -0.059071174388223395, 0.07492275465063748 , 0.7739668976258779 , 0.5178146452567918 , -0.16939267698215588, -0.19603681113080082, -0.05057862774517872  , -0.077534665471989
    18,     27, dense  , short , uniform01  , uniform  , -0.18931125017077638, -0.05377741935925719 , 0.08381291117416699 , 0.48153147572525784, 0.3849209323220399 , -0.16216580881426926, -0.21317147849079146, -0.04901053226406988  , -0.07936313048724415
    18,     27, sparse , long  , uniform01  , uniform  , -0.18964880606295173, -0.047352174823106434, 0.06717571826759386 , 0.8639114850681443 , 0.5541229183727753 , -0.1237506787164787 , -0.23699845498211014, -0.03682202574749367  , -0.0857135409130945
    18,     27, sparse , short , uniform01  , uniform  , -0.1598124902582965 , -0.03674154345735717 , 0.06354718269716926 , 0.549257397675603  , 0.41557234888349565, -0.13368550162871498, -0.1749061135773255 , -0.024879456924703225 , -0.05314058962999532
    19,     29, dense  , long  , uniform01  , uniform  , -0.19521288028538103, -0.05725906219163931 , 0.0861388324163866  , 0.8188615618938404 , 0.5345076132055032 , -0.18311517568430966, -0.21568272657656187, -0.062383797593116457 , -0.0897577540831773
    19,     29, dense  , short , uniform01  , uniform  , -0.1614535466119629 , -0.054725688185130156, 0.07936875302656977 , 0.4981559268080954 , 0.3813810777331611 , -0.15679113572704376, -0.18039835644421828, -0.049090608094572004 , -0.07693545126643223
    19,     29, sparse , long  , uniform01  , uniform  , -0.1645623888290271 , -0.04387416259541621 , 0.058244798551843294, 0.8626010917744248 , 0.5649886313727038 , -0.11915310785236795, -0.167542226982459  , -0.026398661039210274 , -0.05733151029576185
    19,     29, sparse , short , uniform01  , uniform  , -0.14270370314261   , -0.03675281148623777 , 0.05325335130247552 , 0.6081764996399137 , 0.4390033213650809 , -0.10949963306768028, -0.1338398403341759 , -0.023292975996789065 , -0.05410956670880634
    20,     30, dense  , long  , uniform01  , uniform  , -0.16194466007535904, -0.0639045218423751  , 0.0844967234355894  , 0.8567307227807479 , 0.5514231820409929 , -0.14801986169332582, -0.22265435035152029, -0.0664448059129516   , -0.11211148181090308
    20,     30, dense  , short , uniform01  , uniform  , -0.19356173586421196, -0.0707339000366615  , 0.09407277720195424 , 0.5051745383971702 , 0.40874781082694955, -0.18723218683248355, -0.22236584942841808, -0.061862898983898414 , -0.09180803881392803
    20,     30, sparse , long  , uniform01  , uniform  , -0.11193450195330067, -0.03949979609367235 , 0.051650060489547046, 0.9149555842457338 , 0.5918444493728929 , -0.09691592194987139, -0.1489645271855929 , -0.024466605146002084 , -0.06851998795557082
    20,     30, sparse , short , uniform01  , uniform  , -0.12852803335372806, -0.043718443002981826, 0.06708559878957884 , 0.6255578579262948 , 0.45395816905026826, -0.11554009790313557, -0.14741412570747428, -0.026716595916435847 , -0.0618441869101572
    40,     60, dense  , long  , uniform01  , uniform  , -0.22011636142394916, -0.07402595737329647 , 0.11955144338941555 , 0.8439787066981741 , 0.5438699760024205 , -0.2250766669125589 , -0.23344401698551093, -0.11592976072916082  , -0.11439005970183161
    40,     60, dense  , short , uniform01  , uniform  , -0.22782029133102213, -0.06398083342159419 , 0.13096090947099653 , 0.5056994281300362 , 0.41927885469168935, -0.24663223130233777, -0.26432934104463734, -0.10911277963537197  , -0.10403037959102017
    40,     60, sparse , long  , uniform01  , uniform  , -0.18291630167602146, -0.057516801835656335, 0.09728801225101566 , 0.9308625133475716 , 0.5868384569366916 , -0.1483803342797624 , -0.2132981342059753 , -0.06705146651341844  , -0.09777637860356037
    40,     60, sparse , short , uniform01  , uniform  , -0.1922843633299783 , -0.047946726186913445, 0.08870175312968799 , 0.6124785811433736 , 0.46414934306677813, -0.16251607569185259, -0.22020401343096985, -0.057825712865519976 , -0.1000562108105926
    80,    120, dense  , long  , uniform01  , uniform  , -0.20013056474875512, -0.06370889652934025 , 0.13199497796705695 , 0.8510956291030509 , 0.5595953294747702 , -0.20970155746726613, -0.22372742161574902, -0.09624748020500731  , -0.1083214261618827
    80,    120, dense  , short , uniform01  , uniform  , -0.22323838873257898, -0.06413638822806783 , 0.13116037063815336 , 0.553615681547031  , 0.45013051503749346, -0.23443868621944444, -0.25546398655216207, -0.11087448872695375  , -0.10527597716377257
    80,    120, sparse , long  , uniform01  , uniform  , -0.18644188715132945, -0.05456755392339292 , 0.12294492615947318 , 0.9571495112332479 , 0.6026702542450963 , -0.15718761508928683, -0.20803013182602023, -0.07095214180818049  , -0.07754277722749894
    80,    120, sparse , short , uniform01  , uniform  , -0.20413754233543327, -0.04566199798241769 , 0.12435225931735552 , 0.6323813827576754 , 0.49282383072382224, -0.19396740103818852, -0.22403477886028458, -0.08510828474039366  , -0.09581315946946792
