dual2              , upper_pstar           , p_star, dual1              , overlap , alpha_pes_over_opt , alpha_pes          , upper_over_opt       , weight_mode, est_opt           , m , dual1_over_opt    , dual2_over_opt    , dist_type, n
 3.538753002430399 ,    13.333333333333334 , 0.075 ,  3.7509694720245577, sparse  , 0.591715976331361  , 1.0                ,    7.889546351084813 , uniform    , 1.69              , 15, 2.219508563328141 , 2.0939366878286383, uniform  , 10
 4.571330608367976 ,    23.121387283236995 , 0.0865,  4.596689970484874 , sparse  , 0.6482982171799028 , 2.0                ,    7.49477707722431  , uniform    , 3.085             , 15, 1.490012956397042 , 1.4817927417724397, uniform  , 10
 4.17025156318758  ,     7.692307692307692 , 0.13  ,  4.433303609091646 , sparse  , 0.3472222222222222 , 1.0                ,    2.6709401709401708, uniform    , 2.88              , 15, 1.5393415309345995, 1.4480040149956874, uniform  , 10
 4.516224198767855 ,    32.520325203252035 , 0.0615,  4.482213068492535 , sparse  , 0.7017543859649122 , 2.0                ,   11.410640422193696 , uniform    , 2.85              , 15, 1.572706339821942 , 1.584640069743107 , uniform  , 10
 4.640241480678937 ,    18.69158878504673  , 0.107 ,  5.105640433933647 , sparse  , 0.7117437722419929 , 2.0                ,    6.6518109555326435, uniform    , 2.81              , 15, 1.8169538910795897, 1.6513314877860985, uniform  , 10
 3.5802227469020123,    12.658227848101266 , 0.079 ,  3.915264992484333 , sparse  , 0.44052863436123346, 1.0                ,    5.576311827357386 , uniform    , 2.27              , 15, 1.7247863403014683, 1.5771906374017675, uniform  , 10
 4.04999550913428  ,    22.471910112359552 , 0.089 ,  4.246325461083873 , sparse  , 0.7352941176470588 , 2.0                ,    8.261731658955718 , uniform    , 2.72              , 15, 1.5611490665749532, 1.4889689371817203, uniform  , 10
 4.651418714134117 ,    18.95734597156398  , 0.1055,  4.291343696982128 , sparse  , 0.6191950464396285 , 2.0                ,    5.869147359617331 , uniform    , 3.23              , 15, 1.328589379870628 , 1.4400677133542157, uniform  , 10
 5.09135884282338  ,    12.903225806451614 , 0.155 ,  5.254454625165565 , sparse  , 0.5698005698005698 , 2.0                ,    3.6761327083907736, uniform    , 3.51              , 15, 1.4969956197052892, 1.4505295848499657, uniform  , 10
 4.809722034532028 ,    30.3030303030303   , 0.066 ,  4.825262040279439 , sparse  , 0.6700167504187605 , 2.0                ,   10.151768945738795 , uniform    , 2.985             , 15, 1.616503196073514 , 1.6112971639973293, uniform  , 10
 3.603085232439411 ,    10.81081081081081  , 0.0925,  3.8636918215534575, sparse  , 0.4629629629629629 , 1.0                ,    5.005005005005004 , uniform    , 2.16              , 15, 1.7887462136821561, 1.6680950150182456, uniform  , 10
 4.565441166400783 ,    16.949152542372882 , 0.118 ,  4.530432885719775 , sparse  , 0.6329113924050632 , 2.0                ,    5.36365586783952  , uniform    , 3.16              , 15, 1.433681292949296 , 1.4447598627850577, uniform  , 10
 4.560905519384395 ,    30.075187969924812 , 0.0665,  4.914660459659632 , sparse  , 0.6779661016949152 , 2.0                ,   10.194978972855868 , uniform    , 2.95              , 15, 1.6659865964947904, 1.5460696675879304, uniform  , 10
 3.711343809586641 ,     8.333333333333334 , 0.12  ,  4.170960975415807 , sparse  , 0.3710575139146568 , 1.0                ,    3.092145949288807 , uniform    , 2.695             , 15, 1.5476664101728412, 1.3771220072677703, uniform  , 10
 5.002953005068636 ,    26.666666666666668 , 0.075 ,  5.295996462488891 , sparse  , 0.7220216606498195 , 2.0                ,    9.626955475330927 , uniform    , 2.77              , 15, 1.9119120803208993, 1.8061202184363307, uniform  , 10
 3.8269567171787644,     8.16326530612245  , 0.1225,  3.744384555844521 , sparse  , 0.3527336860670194 , 1.0                ,    2.879458661771587 , uniform    , 2.835             , 15, 1.320770566435457 , 1.3498965492694055, uniform  , 10
 5.2548667519198045,    30.769230769230766 , 0.065 ,  5.535242327254278 , sparse  , 0.5610098176718092 , 2.0                ,    8.630920271873988 , uniform    , 3.565             , 15, 1.5526626443911018, 1.474015919192091 , uniform  , 10
 5.835484004618024 ,    32.0855614973262   , 0.0935,  6.577607523111843 , sparse  , 0.8426966292134831 , 3.0                ,    9.012798173406237 , uniform    , 3.56              , 15, 1.847642562671866 , 1.6391809001736024, uniform  , 10
 3.947744641921397 ,    25.641025641025642 , 0.078 ,  4.158338796687829 , sparse  , 0.954653937947494  , 2.0                ,   12.239153050608897 , uniform    , 2.095             , 15, 1.9848872537889397, 1.8843649842106907, uniform  , 10
 4.323704945283574 ,    13.071895424836601 , 0.0765,  4.120025239090254 , sparse  , 0.38167938931297707, 1.0                ,    4.989273062914733 , uniform    , 2.62              , 15, 1.5725287172100206, 1.6502690630853336, uniform  , 10
