dual2              , n , pol_short            , alpha_pes_over_opt , dual2_over_opt    , dist_type, dual1              , pol_weight         , opt_over_weight    , dual1_over_opt    , opt_over_short        , overlap , opt_conserv        , p_star, opt_over_ratio     , upper_over_opt       , m , pol_ratio          , upper_pstar           , weight_mode, alpha_pes
 3.590146247665959 ,  8, 2.636                , 1.0                , 1.7950731238329796, uniform  ,  3.5924295859555735,  2.114             , 0.946073793755913  , 1.7962147929777867,    0.7587253414264036 , sparse  ,  2.0               , 0.103 , 0.76103500761035   ,    9.708737864077671 , 10,  2.628             ,    19.417475728155342 , uniform    ,  2.0
 3.7138248533163574,  8, 2.714                , 0.7633587786259541 , 1.417490402029144 , uniform  ,  3.9088701728514934,  2.582             , 1.0147172734314487 , 1.4919351804776693,    0.9653647752394989 , sparse  ,  2.62              , 0.203 , 0.9790732436472347 ,    3.7603880720490346, 10,  2.676             ,     9.852216748768472 , uniform    ,  2.0
 5.35074433989295  ,  8, 4.348                , 0.6802721088435374 , 1.2133207119938663, uniform  ,  5.334497536248799 ,  3.736             , 1.180406852248394  , 1.209636629534875 ,    1.0142594296228151 , sparse  ,  4.41              , 0.1635, 1.003641329085116  ,    4.160685681000229 , 10,  4.394             ,    18.34862385321101  , uniform    ,  3.0
 3.530165288506431 ,  8, 2.674                , 0.9153318077803203 , 1.6156362876459638, uniform  ,  3.5874604394652314,  2.674             , 0.8171278982797308 , 1.6418583246980463,    0.8171278982797308 , sparse  ,  2.185             , 0.1105, 0.8183520599250936 ,    8.283545771767605 , 10,  2.67              ,    18.099547511312217 , uniform    ,  2.0
 4.466582676946105 ,  8, 2.842                , 0.8048289738430584 , 1.7974175762358573, uniform  ,  4.853328454854755 ,  2.38              , 1.0441176470588236 , 1.9530496800220343,    0.8743842364532018 , sparse  ,  2.485             , 0.117 , 0.8516106922549691 ,    6.878880118316738 , 10,  2.918             ,    17.094017094017094 , uniform    ,  2.0
 3.9168708440431814,  8, 2.954                , 0.7366482504604052 , 1.4426780272718902, uniform  ,  3.954699468363582 ,  2.756             , 0.985123367198839  , 1.4566112222333636,    0.9190927555856465 , sparse  ,  2.715             , 0.0955, 0.9247275204359673 ,    7.713594245658693 , 10,  2.936             ,    20.94240837696335  , uniform    ,  2.0
 3.4960561375581283,  8, 2.24                 , 0.8492569002123143 , 1.484524899175426 , uniform  ,  4.0792821409956534,  1.294             , 1.8199381761978362 , 1.7321792530767106,    1.0513392857142856 , sparse  ,  2.355             , 0.108 , 1.0532200357781751 ,    7.863489816780688 , 10,  2.236             ,    18.51851851851852  , uniform    ,  2.0
 3.7123157036932035,  8, 2.578                , 0.936768149882904  , 1.7387895567649667, uniform  ,  4.066581427456206 ,  2.26              , 0.9446902654867256 , 1.9047219800731645,    0.8281613653995344 , sparse  ,  2.135             , 0.1225, 0.8186349693251532 ,    7.647086937819625 , 10,  2.608             ,    16.3265306122449   , uniform    ,  2.0
 3.2705643330765253,  8, 2.25                 , 0.45248868778280543, 1.4798933633830431, uniform  ,  3.537041826383926 ,  2.058             , 1.0738581146744413 , 1.6004714146533603,    0.9822222222222222 , sparse  ,  2.21              , 0.094 , 0.9534081104400345 ,    4.81370944449793  , 10,  2.318             ,    10.638297872340425 , uniform    ,  1.0
 4.220367832172379 ,  8, 3.112                , 0.6462035541195477 , 1.363608346420801 , uniform  ,  4.6531557410141104,  2.536             , 1.2204258675078865 , 1.5034428888575477,    0.9945372750642674 , sparse  ,  3.095             , 0.141 , 1.0094585779517287 ,    4.58300392992587  , 10,  3.066             ,    14.184397163120568 , uniform    ,  2.0
 3.4770031924415643,  8, 2.402                , 1.0                , 3.4770031924415643, normal   ,  4.0993360289627905,  2.44              , 0.4098360655737705 , 4.0993360289627905,    0.4163197335553705 , sparse  ,  1.0               , 0.001 , 0.4081632653061224 , 1000.0               , 10,  2.45              ,  1000.0               , uniform    ,  1.0
 4.199281619540103 ,  8, 2.788                , 1.0                , 4.199281619540103 , normal   ,  5.067504513790681 ,  2.61              , 0.3831417624521073 , 5.067504513790681 ,    0.3586800573888092 , sparse  ,  1.0               , 0.001 , 0.362844702467344  , 1000.0               , 10,  2.756             ,  1000.0               , uniform    ,  1.0
 3.7999410475781463,  8, 2.61                 , 1.0                , 3.7999410475781463, normal   ,  5.3064473335102145,  2.2               , 0.45454545454545453, 5.3064473335102145,    0.3831417624521073 , sparse  ,  1.0               , 0.0005, 0.380517503805175  , 2000.0               , 10,  2.628             ,  2000.0               , uniform    ,  1.0
 4.025455244300165 ,  8, 2.588                , 1.0                , 4.025455244300165 , normal   ,  4.787150017177071 ,  2.388             , 0.4187604690117253 , 4.787150017177071 ,    0.3863987635239567 , sparse  ,  1.0               , 0.0005, 0.38580246913580246, 2000.0               , 10,  2.592             ,  2000.0               , uniform    ,  1.0
 3.7650725465200487,  8, 2.582                , 1.0                , 3.7650725465200487, normal   ,  4.970963592315635 ,  2.49              , 0.4016064257028112 , 4.970963592315635 ,    0.3872966692486445 , sparse  ,  1.0               , 0.0005, 0.3872966692486445 , 2000.0               , 10,  2.582             ,  2000.0               , uniform    ,  1.0
 3.0079318441565053,  8, 2.304                , 1.0                , 3.0079318441565053, normal   ,  5.114849944421298 ,  2.308             , 0.43327556325823224, 5.114849944421298 ,    0.4340277777777778 , sparse  ,  1.0               , 0.0005, 0.4385964912280702 , 2000.0               , 10,  2.28              ,  2000.0               , uniform    ,  1.0
 4.451680450567016 ,  8, 3.044                , 1.0                , 4.451680450567016 , normal   ,  4.94831350929135  ,  2.952             , 0.33875338753387535, 4.94831350929135  ,    0.328515111695138  , sparse  ,  1.0               , 0.0005, 0.328515111695138  , 2000.0               , 10,  3.044             ,  2000.0               , uniform    ,  1.0
 4.479371608248439 ,  8, 2.812                , 1.0                , 4.479371608248439 , normal   ,  5.118144978680009 ,  2.626             , 0.38080731150038083, 5.118144978680009 ,    0.3556187766714083 , sparse  ,  1.0               , 0.001 , 0.3518648838845883 , 1000.0               , 10,  2.842             ,  1000.0               , uniform    ,  1.0
 4.105851263590248 ,  8, 2.686                , 1.0                , 4.105851263590248 , normal   ,  5.1015779808442225,  2.372             , 0.4215851602023609 , 5.1015779808442225,    0.37230081906180196, sparse  ,  1.0               , 0.0005, 0.37257824143070045, 2000.0               , 10,  2.684             ,  2000.0               , uniform    ,  1.0
 3.57663268406142  ,  8, 2.416                , 1.0                , 3.57663268406142  , normal   ,  5.038099009122708 ,  2.026             , 0.493583415597236  , 5.038099009122708 ,    0.4139072847682119 , sparse  ,  1.0               , 0.0005, 0.4132231404958678 , 2000.0               , 10,  2.42              ,  2000.0               , uniform    ,  1.0
 2.333333333333333 ,  8, 1.0                  , 1.0                , 2.333333333333333 , constant ,  2.333333333333333 ,  1.0               , 1.0                , 2.333333333333333 ,    1.0                , sparse  ,  1.0               , 1.0   , 1.0                ,    1.0               , 10,  1.0               ,     1.0               , uniform    ,  1.0
 2.833333333333333 ,  8, 2.0                  , 1.0                , 1.4166666666666665, constant ,  2.833333333333333 ,  2.0               , 1.0                , 1.4166666666666665,    1.0                , sparse  ,  2.0               , 1.0   , 1.0                ,    1.0               , 10,  2.0               ,     2.0               , uniform    ,  2.0
