dual2,n,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dist_type,dual1,opt_mc,lp_cons,overlap,p_star,m,dsrse_weight,weight_mode,alpha_pes,alpha_over_opt,lp_cons_over_opt,lp_orig_over_opt,dual1_over_opt,dual2_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt
3.4658112527888796,8,2.5,2.488,1.38,2.0,uniform,4.265858790636459,2.501,2.488,moderate,0.097,10,1.608,uniform,2.0,0.7996801279488205,0.9948020791683327,0.9948020791683327,1.7056612517538823,1.3857701930383366,0.5517792882846861,0.7996801279488205,0.6429428228708517,0.9996001599360256
2.6534649988015433,8,1.595,2.2119999999999993,1.0,1.0,normal,3.766195647176235,1.77,1.4306022110953163,moderate,0.001,10,1.167,uniform,1.0,0.5649717514124294,0.8082498367770148,1.2497175141242933,2.1277941509470253,1.4991327676844877,0.5649717514124294,0.5649717514124294,0.6593220338983051,0.9011299435028248
2.5688609774344,8,1.0,1.441,1.0,1.0,uniform,3.172254777704369,1.256,1.1695518214939804,moderate,0.082,15,1.16,uniform,1.0,0.7961783439490446,0.9311718323996659,1.1472929936305734,2.525680555497109,2.0452714788490445,0.7961783439490446,0.7961783439490446,0.9235668789808916,0.7961783439490446
3.2592890971176427,8,2.257,2.751999999999999,1.0,1.0,normal,4.364257314727508,2.376,2.3619753627422337,moderate,0.001,15,2.221,uniform,1.0,0.4208754208754209,0.9940973748915125,1.1582491582491579,1.8368086341445744,1.3717546705040584,0.4208754208754209,0.4208754208754209,0.9347643097643098,0.949915824915825
3.8731237721484817,8,2.473,3.165,2.0,2.0,uniform,4.61808188678876,2.535,2.4811158351998754,moderate,0.172,20,2.053,uniform,2.0,0.7889546351084812,0.9787439192109961,1.2485207100591715,1.8217285549462563,1.527859476192695,0.7889546351084812,0.7889546351084812,0.809861932938856,0.975542406311637
4.038140264825513,8,2.217,2.7129999999999987,1.0,1.0,normal,5.838014492047998,2.217,2.3674796747967477,moderate,0.001,20,1.588,uniform,1.0,0.4510599909788002,1.0678753607563138,1.2237257555254843,2.6332947641172746,1.8214435114233256,0.4510599909788002,0.4510599909788002,0.7162832656743346,1.0
3.0192595754507976,8,1.746,2.0,1.094,1.522,uniform,3.6343992013636135,1.8855,1.9730769230769232,moderate,0.079,25,1.126,uniform,1.0,0.5303632988597189,1.0464475858270608,1.0607265977194378,1.927551949808334,1.6013044685498794,0.5802174489525326,0.8072129408644922,0.5971890745160434,0.9260143198090692
2.5453171586780794,8,1.775,2.0909999999999997,1.0,1.0,normal,3.1845133895601934,1.8285,2.0234987644193665,moderate,0.001,25,1.508,uniform,1.0,0.5468963631391851,1.1066441150775863,1.143560295324036,1.741598791118509,1.3920246971168058,0.5468963631391851,0.5468963631391851,0.8247197156138911,0.9707410445720536
3.393522877438616,8,2.115,2.761000000000001,1.492,2.0,uniform,4.06012464573716,2.2365,2.0875761699868955,moderate,0.031,30,1.738,uniform,2.0,0.894254415381176,0.9334121037276528,1.234518220433714,1.815392195724194,1.5173364084232577,0.6671137938743573,0.894254415381176,0.7771070869662419,0.9456740442655936
2.476583279232938,8,1.384,1.7229999999999994,1.0,1.0,normal,3.163624877733629,1.438,1.4876499405794994,moderate,0.001,30,1.395,uniform,1.0,0.6954102920723227,1.0345270796797632,1.1981919332406117,2.200017300232009,1.722241501552808,0.6954102920723227,0.6954102920723227,0.9700973574408902,0.9624478442280946
2.620630318230509,10,2.069,2.283,2.0,2.0,uniform,3.265903727419897,2.1175,2.0,moderate,0.126,10,2.084,uniform,2.0,0.9445100354191263,0.9445100354191263,1.0781582054309327,1.5423394226304117,1.237605817346167,0.9445100354191263,0.9445100354191263,0.9841794569067296,0.977095631641086
3.0642006781428437,10,2.186,3.445999999999999,1.0,1.0,normal,4.9082833890381075,2.438,1.872088680988227,moderate,0.001,10,2.03,uniform,1.0,0.4101722723543888,0.7678788683298715,1.4134536505332234,2.013241751041061,1.2568501551037095,0.4101722723543888,0.4101722723543888,0.8326497128794093,0.8966365873666939
3.3602024689126253,10,2.372,2.469,2.0,2.0,uniform,4.135735353692878,2.386,2.469,moderate,0.109,15,2.149,uniform,2.0,0.8382229673093042,1.034786253143336,1.034786253143336,1.7333341800892195,1.4082994421259953,0.8382229673093042,0.8382229673093042,0.9006705783738475,0.9941324392288348
3.8271845539860605,10,2.836,3.895999999999998,1.0,1.0,normal,5.776448391115919,2.996,2.6602459875623685,moderate,0.001,15,2.509,uniform,1.0,0.33377837116154874,0.8879325726176129,1.3004005340453932,1.92805353508542,1.2774314265641056,0.33377837116154874,0.33377837116154874,0.8374499332443257,0.9465954606141521
4.137708528284296,10,2.564,2.942,1.972,2.0,uniform,4.984520822886394,2.6365,2.3830139999999997,moderate,0.058,20,1.974,uniform,2.0,0.758581452683482,0.9038551109425375,1.115873316897402,1.8905825233781128,1.5693944730833669,0.7479613123459132,0.758581452683482,0.7487198937985967,0.9725014223402239
3.7241988448313226,10,2.379,2.830999999999999,1.0,1.0,normal,5.690218684664458,2.421,2.5847310320098655,moderate,0.001,20,2.112,uniform,1.0,0.4130524576621231,1.0676295051672309,1.1693515076414702,2.350358812335588,1.5382894856800178,0.4130524576621231,0.4130524576621231,0.8723667905824041,0.9826517967781909
