Instance: n=14, m=21, length=short, density=sparse, dist=uniform, rep=9
Instance: n=14, m=21, length=long, density=dense, dist=uniform, rep=9
Instance: n=14, m=21, length=long, density=sparse, dist=uniform, rep=9
Instance: n=14, m=21, length=short, density=dense, dist=uniform, rep=10
Instance: n=14, m=21, length=short, density=sparse, dist=uniform, rep=10
Instance: n=14, m=21, length=long, density=dense, dist=uniform, rep=10
Instance: n=14, m=21, length=long, density=sparse, dist=uniform, rep=10
Instance: n=16, m=24, length=short, density=dense, dist=uniform, rep=1
Instance: n=16, m=24, length=short, density=sparse, dist=uniform, rep=1
Instance: n=16, m=24, length=long, density=dense, dist=uniform, rep=1
Instance: n=16, m=24, length=long, density=sparse, dist=uniform, rep=1
Instance: n=16, m=24, length=short, density=dense, dist=uniform, rep=2
Instance: n=16, m=24, length=short, density=sparse, dist=uniform, rep=2
Instance: n=16, m=24, length=long, density=dense, dist=uniform, rep=2
Instance: n=16, m=24, length=long, density=sparse, dist=uniform, rep=2
Instance: n=16, m=24, length=short, density=dense, dist=uniform, rep=3
Instance: n=16, m=24, length=short, density=sparse, dist=uniform, rep=3
Instance: n=16, m=24, length=long, density=dense, dist=uniform, rep=3
Instance: n=16, m=24, length=long, density=sparse, dist=uniform, rep=3
Instance: n=16, m=24, length=short, density=dense, dist=uniform, rep=4
Instance: n=16, m=24, length=short, density=sparse, dist=uniform, rep=4
Instance: n=16, m=24, length=long, density=dense, dist=uniform, rep=4
Instance: n=16, m=24, length=long, density=sparse, dist=uniform, rep=4
Instance: n=16, m=24, length=short, density=dense, dist=uniform, rep=5
Instance: n=16, m=24, length=short, density=sparse, dist=uniform, rep=5
Instance: n=16, m=24, length=long, density=dense, dist=uniform, rep=5
Instance: n=16, m=24, length=long, density=sparse, dist=uniform, rep=5
Instance: n=16, m=24, length=short, density=dense, dist=uniform, rep=6
Instance: n=16, m=24, length=short, density=sparse, dist=uniform, rep=6
Instance: n=16, m=24, length=long, density=dense, dist=uniform, rep=6
Instance: n=16, m=24, length=long, density=sparse, dist=uniform, rep=6
Instance: n=16, m=24, length=short, density=dense, dist=uniform, rep=7
Instance: n=16, m=24, length=short, density=sparse, dist=uniform, rep=7
Instance: n=16, m=24, length=long, density=dense, dist=uniform, rep=7
Instance: n=16, m=24, length=long, density=sparse, dist=uniform, rep=7
Instance: n=16, m=24, length=short, density=dense, dist=uniform, rep=8
Instance: n=16, m=24, length=short, density=sparse, dist=uniform, rep=8
Instance: n=16, m=24, length=long, density=dense, dist=uniform, rep=8
Instance: n=16, m=24, length=long, density=sparse, dist=uniform, rep=8
Instance: n=16, m=24, length=short, density=dense, dist=uniform, rep=9
Instance: n=16, m=24, length=short, density=sparse, dist=uniform, rep=9
Instance: n=16, m=24, length=long, density=dense, dist=uniform, rep=9
Instance: n=16, m=24, length=long, density=sparse, dist=uniform, rep=9
Instance: n=16, m=24, length=short, density=dense, dist=uniform, rep=10
Instance: n=16, m=24, length=short, density=sparse, dist=uniform, rep=10
Instance: n=16, m=24, length=long, density=dense, dist=uniform, rep=10
Instance: n=16, m=24, length=long, density=sparse, dist=uniform, rep=10
Instance: n=18, m=27, length=short, density=dense, dist=uniform, rep=1
Instance: n=18, m=27, length=short, density=sparse, dist=uniform, rep=1
Instance: n=18, m=27, length=long, density=dense, dist=uniform, rep=1
Instance: n=18, m=27, length=long, density=sparse, dist=uniform, rep=1
Instance: n=18, m=27, length=short, density=dense, dist=uniform, rep=2
Instance: n=18, m=27, length=short, density=sparse, dist=uniform, rep=2
Instance: n=18, m=27, length=long, density=dense, dist=uniform, rep=2
Instance: n=18, m=27, length=long, density=sparse, dist=uniform, rep=2
Instance: n=18, m=27, length=short, density=dense, dist=uniform, rep=3
Instance: n=18, m=27, length=short, density=sparse, dist=uniform, rep=3
Instance: n=18, m=27, length=long, density=dense, dist=uniform, rep=3
Instance: n=18, m=27, length=long, density=sparse, dist=uniform, rep=3
Instance: n=18, m=27, length=short, density=dense, dist=uniform, rep=4
Instance: n=18, m=27, length=short, density=sparse, dist=uniform, rep=4
Instance: n=18, m=27, length=long, density=dense, dist=uniform, rep=4
Instance: n=18, m=27, length=long, density=sparse, dist=uniform, rep=4
Instance: n=18, m=27, length=short, density=dense, dist=uniform, rep=5
Instance: n=18, m=27, length=short, density=sparse, dist=uniform, rep=5
Instance: n=18, m=27, length=long, density=dense, dist=uniform, rep=5
Instance: n=18, m=27, length=long, density=sparse, dist=uniform, rep=5
Instance: n=18, m=27, length=short, density=dense, dist=uniform, rep=6
Instance: n=18, m=27, length=short, density=sparse, dist=uniform, rep=6
Instance: n=18, m=27, length=long, density=dense, dist=uniform, rep=6
Instance: n=18, m=27, length=long, density=sparse, dist=uniform, rep=6
Instance: n=18, m=27, length=short, density=dense, dist=uniform, rep=7
Instance: n=18, m=27, length=short, density=sparse, dist=uniform, rep=7
Instance: n=18, m=27, length=long, density=dense, dist=uniform, rep=7
Instance: n=18, m=27, length=long, density=sparse, dist=uniform, rep=7
Instance: n=18, m=27, length=short, density=dense, dist=uniform, rep=8
Instance: n=18, m=27, length=short, density=sparse, dist=uniform, rep=8
Instance: n=18, m=27, length=long, density=dense, dist=uniform, rep=8
Instance: n=18, m=27, length=long, density=sparse, dist=uniform, rep=8
Instance: n=18, m=27, length=short, density=dense, dist=uniform, rep=9
Instance: n=18, m=27, length=short, density=sparse, dist=uniform, rep=9
Instance: n=18, m=27, length=long, density=dense, dist=uniform, rep=9
Instance: n=18, m=27, length=long, density=sparse, dist=uniform, rep=9
Instance: n=18, m=27, length=short, density=dense, dist=uniform, rep=10
Instance: n=18, m=27, length=short, density=sparse, dist=uniform, rep=10
Instance: n=18, m=27, length=long, density=dense, dist=uniform, rep=10
Instance: n=18, m=27, length=long, density=sparse, dist=uniform, rep=10
Instance: n=19, m=29, length=short, density=dense, dist=uniform, rep=1
Instance: n=19, m=29, length=short, density=sparse, dist=uniform, rep=1
Instance: n=19, m=29, length=long, density=dense, dist=uniform, rep=1
Instance: n=19, m=29, length=long, density=sparse, dist=uniform, rep=1
Instance: n=19, m=29, length=short, density=dense, dist=uniform, rep=2
Instance: n=19, m=29, length=short, density=sparse, dist=uniform, rep=2
Instance: n=19, m=29, length=long, density=dense, dist=uniform, rep=2
Instance: n=19, m=29, length=long, density=sparse, dist=uniform, rep=2
Instance: n=19, m=29, length=short, density=dense, dist=uniform, rep=3
Instance: n=19, m=29, length=short, density=sparse, dist=uniform, rep=3
Instance: n=19, m=29, length=long, density=dense, dist=uniform, rep=3
Instance: n=19, m=29, length=long, density=sparse, dist=uniform, rep=3
Instance: n=19, m=29, length=short, density=dense, dist=uniform, rep=4
Instance: n=19, m=29, length=short, density=sparse, dist=uniform, rep=4
Instance: n=19, m=29, length=long, density=dense, dist=uniform, rep=4
Instance: n=19, m=29, length=long, density=sparse, dist=uniform, rep=4
Instance: n=19, m=29, length=short, density=dense, dist=uniform, rep=5
Instance: n=19, m=29, length=short, density=sparse, dist=uniform, rep=5
Instance: n=19, m=29, length=long, density=dense, dist=uniform, rep=5
Instance: n=19, m=29, length=long, density=sparse, dist=uniform, rep=5
Instance: n=19, m=29, length=short, density=dense, dist=uniform, rep=6
Instance: n=19, m=29, length=short, density=sparse, dist=uniform, rep=6
Instance: n=19, m=29, length=long, density=dense, dist=uniform, rep=6
Instance: n=19, m=29, length=long, density=sparse, dist=uniform, rep=6
Instance: n=19, m=29, length=short, density=dense, dist=uniform, rep=7
Instance: n=19, m=29, length=short, density=sparse, dist=uniform, rep=7
Instance: n=19, m=29, length=long, density=dense, dist=uniform, rep=7
Instance: n=19, m=29, length=long, density=sparse, dist=uniform, rep=7
Instance: n=19, m=29, length=short, density=dense, dist=uniform, rep=8
Instance: n=19, m=29, length=short, density=sparse, dist=uniform, rep=8
Instance: n=19, m=29, length=long, density=dense, dist=uniform, rep=8
Instance: n=19, m=29, length=long, density=sparse, dist=uniform, rep=8
Instance: n=19, m=29, length=short, density=dense, dist=uniform, rep=9
Instance: n=19, m=29, length=short, density=sparse, dist=uniform, rep=9
Instance: n=19, m=29, length=long, density=dense, dist=uniform, rep=9
Instance: n=19, m=29, length=long, density=sparse, dist=uniform, rep=9
Instance: n=19, m=29, length=short, density=dense, dist=uniform, rep=10
Instance: n=19, m=29, length=short, density=sparse, dist=uniform, rep=10
Instance: n=19, m=29, length=long, density=dense, dist=uniform, rep=10
Instance: n=19, m=29, length=long, density=sparse, dist=uniform, rep=10
Instance: n=20, m=30, length=short, density=dense, dist=uniform, rep=1
Instance: n=20, m=30, length=short, density=sparse, dist=uniform, rep=1
Instance: n=20, m=30, length=long, density=dense, dist=uniform, rep=1
Instance: n=20, m=30, length=long, density=sparse, dist=uniform, rep=1
Instance: n=20, m=30, length=short, density=dense, dist=uniform, rep=2
Instance: n=20, m=30, length=short, density=sparse, dist=uniform, rep=2
Instance: n=20, m=30, length=long, density=dense, dist=uniform, rep=2
Instance: n=20, m=30, length=long, density=sparse, dist=uniform, rep=2
Instance: n=20, m=30, length=short, density=dense, dist=uniform, rep=3
Instance: n=20, m=30, length=short, density=sparse, dist=uniform, rep=3
Instance: n=20, m=30, length=long, density=dense, dist=uniform, rep=3
Instance: n=20, m=30, length=long, density=sparse, dist=uniform, rep=3
Instance: n=20, m=30, length=short, density=dense, dist=uniform, rep=4
Instance: n=20, m=30, length=short, density=sparse, dist=uniform, rep=4
Instance: n=20, m=30, length=long, density=dense, dist=uniform, rep=4
Instance: n=20, m=30, length=long, density=sparse, dist=uniform, rep=4
Instance: n=20, m=30, length=short, density=dense, dist=uniform, rep=5
Instance: n=20, m=30, length=short, density=sparse, dist=uniform, rep=5
Instance: n=20, m=30, length=long, density=dense, dist=uniform, rep=5
Instance: n=20, m=30, length=long, density=sparse, dist=uniform, rep=5
Instance: n=20, m=30, length=short, density=dense, dist=uniform, rep=6
Instance: n=20, m=30, length=short, density=sparse, dist=uniform, rep=6
Instance: n=20, m=30, length=long, density=dense, dist=uniform, rep=6
Instance: n=20, m=30, length=long, density=sparse, dist=uniform, rep=6
Instance: n=20, m=30, length=short, density=dense, dist=uniform, rep=7
Instance: n=20, m=30, length=short, density=sparse, dist=uniform, rep=7
Instance: n=20, m=30, length=long, density=dense, dist=uniform, rep=7
Instance: n=20, m=30, length=long, density=sparse, dist=uniform, rep=7
Instance: n=20, m=30, length=short, density=dense, dist=uniform, rep=8
Instance: n=20, m=30, length=short, density=sparse, dist=uniform, rep=8
Instance: n=20, m=30, length=long, density=dense, dist=uniform, rep=8
Instance: n=20, m=30, length=long, density=sparse, dist=uniform, rep=8
Instance: n=20, m=30, length=short, density=dense, dist=uniform, rep=9
Instance: n=20, m=30, length=short, density=sparse, dist=uniform, rep=9
Instance: n=20, m=30, length=long, density=dense, dist=uniform, rep=9
Instance: n=20, m=30, length=long, density=sparse, dist=uniform, rep=9
Instance: n=20, m=30, length=short, density=dense, dist=uniform, rep=10
Instance: n=20, m=30, length=short, density=sparse, dist=uniform, rep=10
