density,dual2,n,dsrse_lp_adaptive_failed_solves,lp_cons_status,mu_pes_bound,cdsrse_lp_adaptive_failed_solves,instance_id,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dist_type,dsrse_lp_adaptive_total_solves,n_base,dual1,lp_orig_status,opt_mc,length,cdsrse_lp_adaptive,sdp_orig,lp_cons,m_base,dsrse_lp_adaptive,alpha_pes_over_pstar,p_star,m,cdsrse_lp_adaptive_total_solves,dsrse_weight,weight_mode,alpha_pes,alpha_over_opt,alpha_pes_over_pstar_over_opt,lp_cons_over_opt,lp_orig_over_opt,sdp_orig_over_opt,dual1_over_opt,dual2_over_opt,mu_pes_bound_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,cdsrse_lp_adaptive_over_opt,dsrse_lp_adaptive_over_opt,alpha_gap,alpha_pes_over_pstar_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,mu_pes_bound_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,cdsrse_lp_adaptive_gap,dsrse_lp_adaptive_gap
dense,9.723133076741629,80,0,OPTIMAL,68.1655862647465,0,1,6.387604486437198,NaN,6.034760710480554,6.034760710480554,uniform,0,80,10.171153627563225,SKIPPED_LARGE,7.329828423938649,short,NaN,NaN,6.673303182667168,120,NaN,656.3988782884397,0.01,120,0,6.471655474409443,uniform01,6.5639887828843975,0.8955173850245828,89.55173850245828,0.9104310219421617,NaN,NaN,1.387638705749923,1.3265157810497492,9.299751961740741,0.823315412236867,0.823315412236867,0.8829204587209055,0.8714534798080374,NaN,NaN,0.10448261497541722,88.55173850245828,0.08956897805783826,NaN,NaN,0.3876387057499231,0.3265157810497492,8.299751961740741,0.176684587763133,0.176684587763133,0.11707954127909448,0.12854652019196255,NaN,NaN
sparse,7.88244349333129,40,0,OPTIMAL,25.92642282710033,0,1,5.177024447285689,NaN,5.3408626267120605,4.897128129958703,uniform,0,80,8.751707018731663,SKIPPED_LARGE,5.886303258859684,short,NaN,NaN,5.512012972874892,120,NaN,298.80570660160004,0.016,120,0,5.571259875827167,uniform01,4.780891305625601,0.8122060817083645,50.76288010677278,0.9364133532499478,NaN,NaN,1.4867917322402917,1.339116105081257,4.4045339981553875,0.9073373205285233,0.8319530806687306,0.9464785674169379,0.8795035219249986,NaN,NaN,0.1877939182916355,49.76288010677278,0.06358664675005221,NaN,NaN,0.4867917322402917,0.339116105081257,3.4045339981553875,0.09266267947147666,0.16804691933126936,0.05352143258306208,0.12049647807500141,NaN,NaN
dense,7.541320490859702,80,0,OPTIMAL,56.80486846414829,0,1,4.819435951642658,NaN,4.2656140577212085,4.393921431441229,uniform,0,80,9.02707390624506,SKIPPED_LARGE,5.1811442360341955,long,NaN,NaN,4.751143531460547,120,NaN,1413.6075873548014,0.003,240,0,4.694947400566262,uniform01,4.240822762064404,0.818510847964823,272.8369493216076,0.9170066137933298,NaN,NaN,1.7422934963792196,1.4555318569227975,10.963768981584742,0.823295755415263,0.8480600483734978,0.9061603357639618,0.9301875670868411,NaN,NaN,0.18148915203517701,271.8369493216076,0.08299338620667018,NaN,NaN,0.7422934963792196,0.4555318569227975,9.963768981584742,0.176704244584737,0.1519399516265022,0.09383966423603818,0.06981243291315886,NaN,NaN
sparse,6.314014256136938,40,0,OPTIMAL,24.357570899949945,0,1,3.8317386799473216,NaN,3.69142973969984,3.057024740255145,uniform,0,80,7.683706388737953,SKIPPED_LARGE,4.117112138055071,long,NaN,NaN,3.7446216539059995,120,NaN,570.621509603019,0.006,240,0,3.855783477970284,uniform01,3.4237290576181145,0.8315850875112399,138.59751458520665,0.909526271896729,NaN,NaN,1.8662854280106504,1.5336026915020309,5.916178642502677,0.8966065571980452,0.7425167539155947,0.9365262224292392,0.9306860127830863,NaN,NaN,0.16841491248876006,137.59751458520665,0.09047372810327103,NaN,NaN,0.8662854280106504,0.5336026915020309,4.916178642502677,0.10339344280195484,0.2574832460844053,0.06347377757076078,0.06931398721691373,NaN,NaN
dense,10.859265530565194,80,0,OPTIMAL,54.16061904818458,0,2,6.894162470775413,NaN,6.512886180588597,6.1241907869444026,uniform,0,80,12.072467505735727,SKIPPED_LARGE,7.6008004832511356,short,NaN,NaN,7.07526443992583,120,NaN,501.50725870963083,0.013,120,0,7.017298782039502,uniform01,6.519594363225201,0.8577510194605892,65.98084765081455,0.9308578031375302,NaN,NaN,1.5883152744685516,1.4287002473613537,7.125646722017118,0.85686845680796,0.8057297123427276,0.9232315461381445,0.9070311062587624,NaN,NaN,0.14224898053941082,64.98084765081455,0.0691421968624698,NaN,NaN,0.5883152744685516,0.4287002473613537,6.125646722017118,0.14313154319204002,0.1942702876572724,0.07676845386185549,0.09296889374123762,NaN,NaN
sparse,7.171428767673305,40,0,OPTIMAL,23.254845424409,0,2,5.069823904138501,NaN,4.92487930850581,4.82036603280535,uniform,0,80,8.18484551690275,SKIPPED_LARGE,5.355787802447951,short,NaN,NaN,5.184286194489516,120,NaN,299.15582731587403,0.016,120,0,5.014024615547939,uniform01,4.7864932370539846,0.8937047944405563,55.85654965253477,0.9679782668237813,NaN,NaN,1.5282243843121885,1.3390053960680603,4.342002760785256,0.9195433968191967,0.9000293160610513,0.9361880642948917,0.9466065667913981,NaN,NaN,0.10629520555944372,54.85654965253477,0.0320217331762187,NaN,NaN,0.5282243843121885,0.33900539606806035,3.342002760785256,0.08045660318080328,0.0999706839389487,0.06381193570510835,0.053393433208601904,NaN,NaN
dense,8.691205479516482,80,0,OPTIMAL,50.687072630840596,0,2,5.48818087900545,NaN,4.802195777746656,4.7643228271924345,uniform,0,80,10.125712569062847,SKIPPED_LARGE,5.853137209294003,long,NaN,NaN,5.566128718118302,120,NaN,999.8343730844612,0.004,256,0,5.63694197045725,uniform01,3.999337492337845,0.6832810080015601,170.82025200039,0.9509650156979116,NaN,NaN,1.729963301216408,1.484879846267059,8.65981281804846,0.8204481812115062,0.8139776425584768,0.9630633571183905,0.9376477404785504,NaN,NaN,0.3167189919984399,169.82025200039,0.049034984302088414,NaN,NaN,0.729963301216408,0.48487984626705893,7.65981281804846,0.1795518187884938,0.18602235744152318,0.03693664288160947,0.06235225952144963,NaN,NaN
sparse,5.718853877543523,40,0,OPTIMAL,19.194189437190275,0,2,3.037319797533954,NaN,2.5667530205372184,1.9535760408658713,uniform,0,80,6.24251222738334,SKIPPED_LARGE,3.86196982197173,long,NaN,NaN,3.7838978438612294,120,NaN,398.80576172413686,0.007,256,0,3.5337616405467367,uniform01,2.7916403320689582,0.7228539995798531,103.26485708283614,0.9797844152830172,NaN,NaN,1.6164062680832196,1.4808126788064233,4.970051637376772,0.6646227544126074,0.5058496391534392,0.9150153428031121,0.7864690656705468,NaN,NaN,0.2771460004201469,102.26485708283614,0.020215584716982815,NaN,NaN,0.6164062680832196,0.4808126788064233,3.9700516373767716,0.33537724558739257,0.49415036084656083,0.08498465719688786,0.21353093432945325,NaN,NaN
dense,8.624112666655154,80,0,OPTIMAL,53.017393531608406,0,3,5.470536549536773,NaN,4.082866810026852,4.464755891015771,uniform,0,80,9.802086867595284,SKIPPED_LARGE,5.718283257726125,short,NaN,NaN,5.330719694125754,120,NaN,521.0503085032395,0.009,120,0,5.152364707649821,uniform01,4.689452776529156,0.8200805320710741,91.12005911900823,0.9322237905796773,NaN,NaN,1.7141660225298252,1.5081646497666734,9.27155776342055,0.714002197164749,0.7807860663396343,0.9010334877497234,0.956674635196741,NaN,NaN,0.17991946792892588,90.12005911900823,0.0677762094203227,NaN,NaN,0.7141660225298252,0.5081646497666734,8.27155776342055,0.285997802835251,0.21921393366036568,0.09896651225027664,0.04332536480325899,NaN,NaN
sparse,5.983807333897866,40,0,OPTIMAL,22.008312312128286,0,3,3.828829588486408,NaN,3.3955092847286745,3.564863112772143,uniform,0,80,6.632792880307621,SKIPPED_LARGE,4.059762392174098,short,NaN,NaN,3.8305309354682358,120,NaN,295.12361013166816,0.012,120,0,3.827803576355495,uniform01,3.5414833215800177,0.8723375851766217,72.69479876471848,0.9435357455530536,NaN,NaN,1.6337884436521433,1.473930431355466,5.421083843368065,0.8363812845978653,0.8780964914705452,0.9428639429081506,0.9431166700462931,NaN,NaN,0.12766241482337826,71.69479876471848,0.05646425444694636,NaN,NaN,0.6337884436521433,0.473930431355466,4.421083843368065,0.16361871540213468,0.12190350852945475,0.057136057091849435,0.05688332995370693,NaN,NaN
