n_base,m_base,density,length,weight_mode,dist_type,dual2,n,dsrse_lp_adaptive_failed_solves,mu_pes_bound,cdsrse_lp_adaptive_failed_solves,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dsrse_lp_adaptive_total_solves,dual1,opt_mc,cdsrse_lp_adaptive,sdp_orig,lp_cons,dsrse_lp_adaptive,alpha_pes_over_pstar,p_star,m,cdsrse_lp_adaptive_total_solves,dsrse_weight,alpha_pes,sdp_orig_over_opt,alpha_gap,alpha_pes_over_pstar_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,mu_pes_bound_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,cdsrse_lp_adaptive_gap,dsrse_lp_adaptive_gap,alpha_over_opt,alpha_pes_over_pstar_over_opt,lp_cons_over_opt,lp_orig_over_opt,dual1_over_opt,dual2_over_opt,mu_pes_bound_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,cdsrse_lp_adaptive_over_opt,dsrse_lp_adaptive_over_opt
12,18,dense,long,uniform01,uniform,2.8005288978531135,12.0,0.0,4.208040329459366,0.0,1.7122858591496546,1.9361544148467407,1.5958923776546459,1.4879072902600206,1565.7,3.313043573160326,1.8261998535219341,1.6205550836928353,NaN,1.7198283664750118,1.668859550263273,25.70407521211801,0.06659999999999999,31.4,1373.8,1.7669840530133225,1.553227367515635,NaN,0.15567425171184762,12.982287273646984,0.06634463793484778,0.05909164302220016,NaN,0.8413763726613464,0.5558070745601891,1.3048447239994139,0.13577396254206162,0.19170822120380207,0.03421403817860841,0.0639310005471626,0.11601438204554693,0.0920843689256842,0.8505243084540525,14.075170996507412,0.9417525486918759,1.0602094897295893,1.8141736057917899,1.5335281581871383,2.304260577693023,0.873887036282953,0.814756001316342,0.9675743044254381,0.9376223833593077,0.8873919689389412,0.9138427796085838
12,18,sparse,long,uniform01,uniform,2.095754479882569,6.0,0.0,2.3897843214481758,0.0,1.301547766573002,1.4827929977066951,1.3231424873011046,1.170352869911408,1081.1,2.4872270597006154,1.4254762544821116,1.3398395460786474,NaN,1.3570145007194925,1.3256527630048627,18.991975313219864,0.073,31.4,938.6,1.4107900951046313,1.2582828197978508,NaN,0.12074866583858843,12.225083599617843,0.0456151994378479,0.04408147756165437,NaN,0.7534456413502643,0.4726042571820094,0.7102139577346569,0.06953138125195954,0.183249841592649,0.013169665527553664,0.09116023692691567,0.058764746989582915,0.08410298016349453,0.882710473669024,13.323249162168485,0.9519727154013576,1.0402088376038277,1.7448393488702816,1.4702135327003225,1.6764813261069762,0.9282108229728556,0.8210258615192492,0.989697366524835,0.913061696033559,0.9399241424512002,0.9299718314048552
14,21,dense,short,uniform01,uniform,4.164603176902482,14.0,0.0,6.7725782232554845,0.0,2.8319083981861106,3.316892230639753,2.6125965147651713,2.4379091241548174,2238.4,4.451503257745338,3.088183415941574,2.6773687017213414,NaN,2.97192113190348,2.877560995949597,25.4275808433189,0.10369999999999999,21.0,2010.6,2.95351592763268,2.5064509462949576,NaN,0.19441855912978823,7.091670411205304,0.041221390444474384,0.07491667351990294,NaN,0.4347179620285244,0.3469675508491841,1.1600016654040306,0.159490533085137,0.21376318106764353,0.047934632182396686,0.08426788470588914,0.13060553342633077,0.07670284546958275,0.8116263215961709,8.233831161730444,0.9623525327420859,1.0740593364751447,1.4414633647619965,1.3485608255663506,2.193062169913426,0.845997844972107,0.7894314539641776,0.9563926521936086,0.9170143144890485,0.8669720483247343,0.9317973087658205
14,21,sparse,short,uniform01,uniform,2.6608753055730747,7.0,0.0,3.6072960760814667,0.0,1.7557553601181628,1.9762498959846102,1.809347454526069,1.614585204008802,1391.6,3.032259645866204,1.905202020827233,1.7824296622066194,NaN,1.84826218577801,1.7671587979829149,15.500594564447903,0.1272,21.0,1324.8,1.8902437900874687,1.734365281884262,NaN,0.09513865205819326,7.3670333602651725,0.040071162672716966,0.04381084227125842,NaN,0.6178561159643996,0.41516366929428494,0.9146188258321366,0.05860666811863137,0.15143687325055988,0.01171426667128036,0.076767491235081,0.07638827532869669,0.08025872762822259,0.9103314309582802,8.135932250228032,0.9701134922035722,1.0372915178446684,1.5915685647601854,1.3966368272156937,1.8933929507985667,0.9496879778347369,0.8474614168778564,0.9921487429804061,0.9215586278644714,0.9355594014290903,0.927544049746294
14,21,dense,long,uniform01,uniform,3.567262349174917,14.0,0.0,5.316505902545059,0.0,2.184737522928387,2.6849668167862566,1.9766958362260774,1.7448065993348798,1752.7,4.09552408239215,2.4134780608274236,1.9881339835280802,NaN,2.2577104691156737,2.174419882701805,35.16817501363426,0.0522,35.5,1477.1,2.307518507817046,1.7415320444831164,NaN,0.2763071950666983,13.368576702046258,0.07301150776352665,0.1152385537224901,NaN,0.6942632477798794,0.47650338633721034,1.1776623075018584,0.18213958003583705,0.27635004786305484,0.0461609856162554,0.09460834562227723,0.1758237700687547,0.11162961997006782,0.7215860267178311,14.571574353394949,0.9354592883026468,1.1124885949308183,1.696938600298717,1.4780587431368388,2.2028399548502122,0.8190237434967185,0.7229428050970971,0.9560967407451589,0.905223692888836,0.8237630230815023,0.9009486839736752
14,21,sparse,long,uniform01,uniform,2.4271160776095635,7.0,0.0,2.6892600516101828,0.0,1.4008718893157863,1.663073408573944,1.4162336212790603,1.2856038874652735,1014.6,2.895859533562937,1.5611815368396524,1.3637659472981352,NaN,1.5158284154145194,1.305756117004623,22.08288773935999,0.065,35.5,987.6,1.5500730679404764,1.298770705746033,NaN,0.16224321010370962,14.115778528684114,0.06606119780018668,0.06589375530264885,NaN,0.9403732885279279,0.5968529035946974,0.7161442875464153,0.10022269964618553,0.16673121712686462,0.009208054084828065,0.09699617325265604,0.1350378331826247,0.20937804011961064,0.8319152354153343,14.144983922922286,0.9709494889896387,1.0652658703231621,1.8549153094809936,1.5546661424928512,1.7225799743021137,0.9071549898969375,0.8234813550689056,0.9928845757927273,0.8973151784459443,0.8735473198452297,0.8363896742257823
16,24,dense,short,uniform01,uniform,3.996692740127032,16.0,0.0,6.862239927514855,0.0,2.750908113479591,3.1816275693783633,2.4456075470468495,2.3408322622328854,2296.2,4.275504233696577,2.9847955427619004,2.673303761118803,NaN,2.8752515973307764,2.7369848108718653,31.07156981915231,0.0762,24.0,2018.8,2.8137624296469013,2.3739190152884606,NaN,0.20679459047575657,9.502333128938862,0.0494311817844564,0.06604211984424888,NaN,0.4327003027330002,0.33391559125607717,1.3513396071723338,0.1847258505737875,0.22468524443027632,0.06478810860097303,0.08794171501293985,0.10899017748513999,0.09309444903766216,0.7953372287241552,10.409949148611052,0.9632993470200105,1.065944894314044,1.4324278405147826,1.3390172569169678,2.299065322633478,0.8193551323732788,0.7842521300694717,0.9426985498119786,0.9216403851012562,0.8956404962482398,0.9169756426060828
16,24,sparse,short,uniform01,uniform,2.583014917659062,8.0,0.0,3.6371639430289,0.0,1.754165990282538,2.000633865444286,1.7351493767356707,1.5612157339608608,1430.2,2.8631251908789186,1.9142197358501885,1.791685224255486,NaN,1.8700316400001955,1.684394663222529,21.331836318422397,0.0784,24.0,1309.7,1.8180090004767142,1.6697806879188566,NaN,0.14267291868013168,10.142915842850323,0.03475247317862336,0.05635610889327981,NaN,0.5058969062565553,0.3627838530234261,0.9266307788389287,0.1123736844221129,0.2180239487578938,0.060317701852003094,0.10446363212695627,0.07680793814011715,0.15470046196848725,0.8723035588060293,11.14388067310778,0.9769158707214106,1.0451432654129007,1.4957139649421072,1.3493826593067866,1.9000765037110419,0.9064525583135393,0.8155885683977951,0.9497389283102637,0.9163869525686592,0.935987227955165,0.8799379881403302
16,24,dense,long,uniform01,uniform,3.4138379537309653,16.0,0.0,5.814798064370465,0.0,2.004146483848239,2.413881603521895,1.775953311986521,1.651772630705861,1720.4,3.911843659870885,2.2373481087128595,2.006511077061328,NaN,2.102554620312847,2.0303970450029643,44.07560926190504,0.04089999999999999,44.1,1453.2,2.1307074653988574,1.799514389657476,NaN,0.18994399198120243,19.48524722314051,0.07009273585295514,0.08325136074180459,NaN,0.7564437248676046,0.5260806036183958,1.685006241725084,0.1962079968652522,0.26750615551102824,0.04504423258753938,0.11906010007121255,0.10981055466193164,0.10713191780255013,0.804306841054221,19.69993363583534,0.9397530103272311,1.0789030075925892,1.748428706573229,1.5258412137282191,2.5989688603780587,0.7937760355978857,0.7382725219528405,0.9523361416586388,0.8957687344421423,0.8968256076233343,0.9075016252929216
16,24,sparse,long,uniform01,uniform,2.2123295232275657,8.0,0.0,2.347243270754967,0.0,1.2061902035582681,1.4148718724831701,1.1552119434884707,1.0145883986511142,991.3,2.623354022746935,1.3312326809081199,1.203717715019209,NaN,1.283375871775611,1.086141018143981,25.51888985163065,0.0443,44.1,862.6,1.3042051331412656,1.1142029120843417,NaN,0.14435025037057586,19.06883249420266,0.04793568345546415,0.06233227143352653,NaN,1.0263100775070315,0.6919211000514917,0.8318697474758817,0.11705887072936685,0.24667649128314467,0.027735040273302224,0.1168328337232393,0.09125258732848242,0.24666701657422935,0.836970822654588,19.16936852408293,0.9640507554998855,1.062828379121518,1.9706202081497697,1.6618653935977539,1.7632103721745778,0.8677761296398057,0.762142045640735,0.9796973525706888,0.9060701565224855,0.9042128639736183,0.8158911914655326
