density,dual2,n,dsrse_lp_adaptive_failed_solves,lp_cons_status,mu_pes_bound,cdsrse_lp_adaptive_failed_solves,instance_id,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dist_type,dsrse_lp_adaptive_total_solves,n_base,dual1,lp_orig_status,opt_mc,length,cdsrse_lp_adaptive,sdp_orig,lp_cons,m_base,dsrse_lp_adaptive,alpha_pes_over_pstar,p_star,m,cdsrse_lp_adaptive_total_solves,dsrse_weight,weight_mode,alpha_pes,alpha_over_opt,alpha_pes_over_pstar_over_opt,lp_cons_over_opt,lp_orig_over_opt,sdp_orig_over_opt,dual1_over_opt,dual2_over_opt,mu_pes_bound_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,cdsrse_lp_adaptive_over_opt,dsrse_lp_adaptive_over_opt,alpha_gap,alpha_pes_over_pstar_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,mu_pes_bound_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,cdsrse_lp_adaptive_gap,dsrse_lp_adaptive_gap
dense,2.2090077322408455,8,0,OPTIMAL,3.1085606018458622,0,3,1.6758056097811693,1.719970446086821,1.608086194112504,1.608086194112504,uniform,1101,8,2.366079356772889,OPTIMAL,1.6692626710692209,long,1.6080861941125058,NaN,1.608086194112507,12,1.6741698751031822,15.4623672510818,0.104,13,1000,1.6744970220387796,uniform01,1.608086194112507,0.9633511980966254,9.26299228939063,0.9633511980966254,1.0303773491712482,NaN,1.4174398060775737,1.3233433961749705,1.8622357378031589,0.9633511980966235,0.9633511980966235,1.0031357263660643,1.0039196579575804,0.9633511980966246,1.0029397434681853,0.036648801903374606,8.26299228939063,0.036648801903374606,0.030377349171248236,NaN,0.4174398060775737,0.32334339617497054,0.8622357378031589,0.03664880190337649,0.03664880190337649,0.0031357263660642953,0.003919657957580425,0.03664880190337538,0.002939743468185263
sparse,0.7218564983353568,4,0,OPTIMAL,0.7428324576328375,0,3,0.4154923371652148,0.522547746430146,0.357395800208307,0.3584580513066832,uniform,1008,8,0.8202678979165989,OPTIMAL,0.45205759994644756,long,0.3940305115191523,NaN,0.45049428981511364,12,0.37320425141601193,3.2073228980138144,0.102,13,865,0.43096125304327154,uniform01,0.32714693559740904,0.7236841845733024,7.094942986012769,0.9965417899588036,1.1559317805785125,NaN,1.8145207557925604,1.5968241622768218,1.6432252388209736,0.7905979243588549,0.7929477379633645,0.9533326131323194,0.9191137085504935,0.8716378434204638,0.8255679175844475,0.2763158154266976,6.094942986012769,0.0034582100411963967,0.15593178057851254,NaN,0.8145207557925604,0.5968241622768218,0.6432252388209736,0.2094020756411451,0.20705226203663551,0.04666738686768057,0.08088629144950654,0.1283621565795362,0.17443208241555253
dense,2.2341563087170355,8,0,OPTIMAL,2.638904043764041,0,4,1.702459750026405,1.869172136635281,1.6228799251876944,1.6228799251876944,uniform,1766,8,2.3359290702803293,OPTIMAL,1.7365074290548703,short,1.6113965483662767,NaN,1.6539706857481051,12,1.4820114419476853,10.271391931567667,0.158,12,1769,1.6867290137515114,uniform01,1.6228799251876915,0.9345654951047213,5.914971488004564,0.9524696860342904,1.0763974316266622,NaN,1.3451880661125108,1.2865803343743947,1.5196618221209215,0.934565495104723,0.934565495104723,0.9713341765946536,0.9803930127457061,0.927952579646211,0.8534437671564126,0.06543450489527869,4.914971488004564,0.047530313965709614,0.07639743162666224,NaN,0.34518806611251085,0.2865803343743947,0.5196618221209215,0.06543450489527702,0.06543450489527702,0.028665823405346402,0.019606987254293884,0.07204742035378897,0.14655623284358743
sparse,2.041709176372896,4,0,OPTIMAL,2.554581755941185,0,4,1.6661835839753998,1.7448725182296274,1.6228799251876944,1.6228799251876944,uniform,1586,8,2.2355224494884305,OPTIMAL,1.6681631798056944,short,1.6228799251876904,NaN,1.6228799251876915,12,1.5758507340873353,6.876609852490219,0.236,12,1500,1.6716274725087112,uniform01,1.6228799251876915,0.9728544214581709,4.122264497704115,0.9728544214581709,1.0459843133768651,NaN,1.3401101742029946,1.2239265325414457,1.531374020759012,0.9728544214581726,0.9728544214581726,1.0020767109266975,0.9988133080418876,0.9728544214581702,0.9446622207971815,0.027145578541829085,3.1222644977041147,0.027145578541829085,0.04598431337686515,NaN,0.3401101742029946,0.22392653254144568,0.5313740207590121,0.02714557854182742,0.02714557854182742,0.002076710926697478,0.0011866919581123847,0.02714557854182975,0.05533777920281846
dense,1.9132169965304089,8,0,OPTIMAL,2.3236972232209707,0,4,1.1961571156750206,1.5098712741717686,1.4940037720200288,1.1961571156750206,uniform,1500,8,2.197320981491025,OPTIMAL,1.4957012109690015,long,1.4869003620029104,NaN,1.4811499824652454,12,1.4496304645255464,16.683406562663013,0.077,16,1299,1.4775856066653719,uniform01,1.284622305325052,0.8588762888630675,11.154237517702175,0.9902712999113445,1.009473859550857,NaN,1.4690908621164207,1.2791438440374843,1.5535838349128204,0.9988651216322322,0.7997299907914636,0.9878882198056834,0.7997299907914636,0.9941159043654251,0.9691978945356287,0.14112371113693245,10.154237517702175,0.009728700088655451,0.009473859550857,NaN,0.4690908621164207,0.27914384403748427,0.5535838349128204,0.001134878367767822,0.20027000920853644,0.01211178019431658,0.20027000920853644,0.005884095634574926,0.030802105464371343
sparse,1.905021334308029,4,0,OPTIMAL,2.037888710172467,0,4,1.3962021694229212,1.4896064229618116,1.4808117248453854,0.9319131124814953,uniform,1373,8,2.140342542309407,OPTIMAL,1.4781056638864845,long,1.4984011210782398,NaN,1.4896064229618116,12,1.4505779411408508,9.308857284964144,0.138,16,1316,1.494342029639891,uniform01,1.284622305325052,0.8691004552051487,6.297829385544555,1.0077807421731186,1.0077807421731186,NaN,1.4480308103831074,1.2888262191615083,1.3787165288401013,1.0018307628642635,0.6304780065798221,1.0109845771855817,0.9445888771928465,1.013730721481975,0.9813763498657782,0.13089954479485133,5.297829385544555,0.007780742173118638,0.007780742173118638,NaN,0.44803081038310744,0.2888262191615083,0.3787165288401013,0.0018307628642635354,0.3695219934201779,0.010984577185581657,0.055411122807153546,0.013730721481975072,0.018623650134221847
dense,3.572693035740468,8,0,OPTIMAL,4.999216731463355,0,5,2.952874096131617,3.0363785814440067,2.871785544199249,2.871785544199249,uniform,2098,8,3.6424118352074895,OPTIMAL,2.9574268297159945,short,2.8717855441992417,NaN,2.8717855441992426,12,2.725245995005194,8.598160311973778,0.334,12,2000,2.954313537881896,uniform01,2.871785544199242,0.971041959633207,2.9073112563868473,0.9710419596332072,1.0266960963952552,NaN,1.2316151996082605,1.2080410578014396,1.6903940551399665,0.9710419596332093,0.9710419596332093,0.998947297088531,0.9984605760864032,0.9710419596332068,0.9214922809322396,0.028958040366792948,1.9073112563868473,0.028958040366792837,0.026696096395255164,NaN,0.2316151996082605,0.20804105780143956,0.6903940551399665,0.028958040366790727,0.028958040366790727,0.0010527029114689723,0.001539423913596849,0.02895804036679317,0.07850771906776044
sparse,1.2998144382376577,4,0,OPTIMAL,1.180652257908272,0,5,1.0316500540582603,1.024932659223627,0.865634438859446,0.865634438859446,uniform,1175,8,1.3221586071302127,OPTIMAL,1.0278115427241838,short,0.8656344388594465,NaN,0.8656344388594472,12,1.0335693097252991,2.599502819397739,0.333,12,1000,1.0191748922225117,uniform01,0.8656344388594472,0.8422112448407701,2.52916289741973,0.8422112448407701,0.9971990161806059,NaN,1.2863823299997885,1.2646427717600235,1.148704999730776,0.8422112448407689,0.8422112448407689,0.9915970485418163,1.003734645092526,0.8422112448407694,1.0056019676387895,0.15778875515922985,1.52916289741973,0.15778875515922985,0.0028009838193940872,NaN,0.2863823299997885,0.2646427717600235,0.1487049997307761,0.15778875515923108,0.15778875515923108,0.008402951458183705,0.0037346450925259678,0.15778875515923063,0.005601967638789507
dense,3.2919904530097743,8,0,OPTIMAL,4.156023829681859,0,5,2.6458664294388043,2.6429625847760727,2.291016611653126,2.291016611653126,uniform,1817,8,3.426836579567813,OPTIMAL,2.637154895450613,long,2.531174915315163,NaN,2.499006133698333,12,2.6592241148873628,11.57079096794508,0.198,16,1820,2.638316433315706,uniform01,2.291016611653126,0.8687455619711173,4.387603848338976,0.9476144681563445,1.002202255671625,NaN,1.2994445587854886,1.2483113747655952,1.5759498377783816,0.8687455619711173,0.8687455619711173,1.0004404511343254,1.003303383507438,0.9598127586975351,1.008368571552176,0.1312544380288827,3.3876038483389763,0.052385531843655464,0.0022022556716250197,NaN,0.2994445587854886,0.24831137476559517,0.5759498377783816,0.1312544380288827,0.1312544380288827,0.000440451134325448,0.0033033835074380846,0.04018724130246487,0.008368571552175963
sparse,1.1972341878805057,4,0,OPTIMAL,0.8496438107326867,0,5,0.7973200465457545,0.7983321116170692,0.7644279317280509,0.7644279317280509,uniform,682,8,1.3725374393832372,OPTIMAL,0.7991417636741195,long,0.7644279317280511,NaN,0.7644279317280517,12,0.801267100323879,3.940350163546658,0.194,16,500,0.8001538287454334,uniform01,0.7644279317280517,0.9565611090246765,4.93072736610658,0.9565611090246765,0.9989868480239003,NaN,1.7175143407258362,1.498149943229251,1.0631953545092925,0.9565611090246755,0.9565611090246755,1.001266439970126,0.9977204080537733,0.9565611090246758,1.002659523937265,0.043438890975323496,3.93072736610658,0.043438890975323496,0.0010131519760997465,NaN,0.7175143407258362,0.4981499432292511,0.06319535450929248,0.043438890975324496,0.043438890975324496,0.0012664399701260987,0.0022795919462267333,0.04343889097532416,0.002659523937265096
dense,3.4670504169562317,8,0,OPTIMAL,5.074713602373348,0,6,2.6815112829591654,2.726873313505152,2.6815112829591654,2.6815112829591654,uniform,2000,8,3.7018235451807375,OPTIMAL,2.7265147203783044,short,2.681511282959168,NaN,2.6815112829591654,12,2.7286662791393805,13.080542843703249,0.205,12,2000,2.726425072096594,uniform01,2.681511282959166,0.9834941520459151,4.797532449004464,0.983494152045915,1.0001315207008301,NaN,1.3577126569362914,1.2716052442493975,1.8612456277768528,0.983494152045915,0.983494152045915,0.999967119824793,0.983494152045915,0.983494152045916,1.000789124204977,0.01650584795408494,3.797532449004464,0.01650584795408505,0.00013152070083011225,NaN,0.3577126569362914,0.27160524424939747,0.8612456277768528,0.01650584795408505,0.01650584795408505,3.288017520697295e-5,0.01650584795408505,0.016505847954084052,0.0007891242049768987
sparse,2.274483568973179,4,0,OPTIMAL,2.5311814975172378,0,6,2.0452309819886803,2.04523098198868,2.0452309819886803,2.0452309819886803,uniform,1500,8,2.4159395658411387,OPTIMAL,2.0452309819886803,short,2.0452309819886803,NaN,2.04523098198868,12,2.0452309819886803,11.620630579481135,0.176,12,1500,2.0452309819886803,uniform01,2.04523098198868,0.9999999999999998,5.681818181818181,0.9999999999999998,0.9999999999999998,NaN,1.1812551184277484,1.112091293845737,1.237601776918147,1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16,4.681818181818181,2.220446049250313e-16,2.220446049250313e-16,NaN,0.18125511842774844,0.11209129384573702,0.2376017769181471,0.0,0.0,0.0,0.0,0.0,0.0
