density,dual2,n,mu_pes_bound,instance_id,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dist_type,n_base,dual1,opt_mc,length,cdsrse_lp_adaptive,sdp_orig,lp_cons,m_base,dsrse_lp_adaptive,alpha_pes_over_pstar,p_star,m,dsrse_weight,weight_mode,alpha_pes,alpha_over_opt,alpha_pes_over_pstar_over_opt,lp_cons_over_opt,lp_orig_over_opt,sdp_orig_over_opt,dual1_over_opt,dual2_over_opt,mu_pes_bound_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,cdsrse_lp_adaptive_over_opt,dsrse_lp_adaptive_over_opt,alpha_gap,alpha_pes_over_pstar_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,mu_pes_bound_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,cdsrse_lp_adaptive_gap,dsrse_lp_adaptive_gap
dense,2.84724412224948,8,NaN,3,2.308836046434365,NaN,2.230968251095645,2.230968251095645,uniform,8,3.2153332564528885,2.3258186814616106,long,2.230968251095645,NaN,NaN,12,2.3008388133995785,22.53503283934991,0.099,22,2.3172541864709837,uniform01,2.230968251095641,0.9592184760050328,9.689075515202353,NaN,NaN,NaN,1.3824522444854908,1.2241900647475197,NaN,0.9592184760050345,0.9592184760050345,0.9963176428760797,0.9926982119618314,0.9592184760050345,0.9892597525932959,0.04078152399496715,8.689075515202353,NaN,NaN,NaN,0.38245224448549076,0.22419006474751968,NaN,0.040781523994965485,0.040781523994965485,0.003682357123920288,0.007301788038168611,0.040781523994965485,0.010740247406704095
sparse,1.2534843100202047,4,NaN,3,0.4817976076314597,NaN,0.6998920206957842,0.4209070018309265,uniform,8,1.6547306659348935,0.7402990928715532,long,0.6998920206957837,NaN,NaN,12,0.744508162889862,7.52572065264282,0.093,22,0.7352482088495821,uniform01,0.6998920206957823,0.9454179093762826,10.165783971787986,NaN,NaN,NaN,2.235219091673263,1.6932133540216192,NaN,0.9454179093762851,0.5685634439970287,0.9931772386720357,0.6508148021127655,0.9454179093762846,1.0056856344399696,0.05458209062371744,9.165783971787986,NaN,NaN,NaN,1.235219091673263,0.6932133540216192,NaN,0.054582090623714885,0.43143655600297126,0.006822761327964333,0.34918519788723446,0.05458209062371544,0.005685634439969611
dense,2.1809133331991193,8,NaN,4,1.1493852691877562,NaN,1.2088903821759613,1.0223159987910926,uniform,8,2.2480472283702855,1.3260182448969884,short,1.2088903821759627,NaN,NaN,12,1.3400926062724265,3.7660136516385143,0.321,12,1.3385856788318815,uniform01,1.2088903821759631,0.9116694938612068,2.84009188118756,NaN,NaN,NaN,1.6953365740038704,1.6447083903951438,NaN,0.9116694938612054,0.7709667666529816,1.0094775724114335,0.8667944604917907,0.9116694938612064,1.0106140028084845,0.08833050613879323,1.84009188118756,NaN,NaN,NaN,0.6953365740038704,0.6447083903951438,NaN,0.08833050613879456,0.22903323334701842,0.009477572411433544,0.13320553950820935,0.08833050613879356,0.010614002808484457
sparse,1.6633720880880087,4,NaN,4,1.1931185000988958,NaN,1.1931185000988958,1.1931185000988958,uniform,8,1.7950594858834428,1.1931185000988958,short,1.1931185000988944,NaN,NaN,12,1.1931185000988944,3.5509479169609945,0.336,12,1.1931185000988958,uniform01,1.1931185000988942,0.9999999999999987,2.9761904761904723,NaN,NaN,NaN,1.5045106464568716,1.3941382083591314,NaN,1.0,1.0,1.0,1.0,0.9999999999999989,0.9999999999999989,1.3322676295501878e-15,1.9761904761904723,NaN,NaN,NaN,0.5045106464568716,0.3941382083591314,NaN,0.0,0.0,0.0,0.0,1.1102230246251565e-15,1.1102230246251565e-15
dense,1.9747424855339524,8,NaN,4,0.9876596932707922,NaN,1.1575810085047724,0.9439111939262489,uniform,8,2.2354430108494876,1.2012275188043129,long,1.153713467775792,NaN,NaN,12,1.2075770611131995,5.140834235551527,0.185,15,1.1964818405197515,uniform01,0.9510543335770324,0.7917353862519735,4.279650736497154,NaN,NaN,NaN,1.8609655338853877,1.6439371015239368,NaN,0.9636650762521777,0.785788852777704,0.9960493093853817,0.8222086805452946,0.960445419136072,1.005285878161705,0.20826461374802652,3.279650736497154,NaN,NaN,NaN,0.8609655338853877,0.6439371015239368,NaN,0.03633492374782232,0.21421114722229595,0.00395069061461828,0.1777913194547054,0.039554580863928046,0.005285878161704893
sparse,1.6209743893000792,4,NaN,4,1.0411022035231632,NaN,1.0570784385136058,1.0500585776844724,uniform,8,1.8322643959484577,1.0488482568518624,long,1.0493323851849083,NaN,NaN,12,1.0527212835162147,4.708189770183329,0.202,15,1.0498165135179505,uniform01,0.9510543335770324,0.9067606561426146,4.488914139319874,NaN,NaN,NaN,1.7469299147695905,1.5454803673559643,NaN,1.0078468754731464,1.0011539522754633,1.0009231618203707,0.9926147054370389,1.000461580910187,1.003692647281483,0.09323934385738541,3.488914139319874,NaN,NaN,NaN,0.7469299147695905,0.5454803673559643,NaN,0.007846875473146442,0.0011539522754633325,0.000923161820370666,0.007385294562961109,0.00046158091018710934,0.003692647281483108
dense,2.721671714063657,8,NaN,5,1.6427975113436017,NaN,1.7372341629312986,1.0594540712075344,uniform,8,2.8634905412731615,2.029855390996209,short,1.7463283387912023,NaN,NaN,12,2.036767236869438,9.748719937473355,0.168,12,2.0007767181695275,uniform01,1.637784949495524,0.8068480921154361,4.802667214972833,NaN,NaN,NaN,1.4106869651772693,1.3408204969359512,NaN,0.8558413425099715,0.5219357378397174,0.9856745101371923,0.8093175103165119,0.8603215512481124,1.0034050927489158,0.19315190788456393,3.802667214972833,NaN,NaN,NaN,0.4106869651772693,0.3408204969359512,NaN,0.14415865749002854,0.47806426216028264,0.014325489862807683,0.1906824896834881,0.13967844875188762,0.003405092748915761
sparse,1.3914648422263332,4,NaN,5,1.0594540712075344,NaN,1.0594540712075344,1.0594540712075344,uniform,8,1.432232300678745,1.0594540712075344,short,1.0594540712075293,NaN,NaN,12,1.0594540712075293,2.0937827494219983,0.506,12,1.0594540712075344,uniform01,1.059454071207531,0.9999999999999969,1.976284584980231,NaN,NaN,NaN,1.3518587918080573,1.3133791072607637,NaN,1.0,1.0,1.0,1.0,0.9999999999999952,0.9999999999999952,3.1086244689504383e-15,0.9762845849802311,NaN,NaN,NaN,0.35185879180805735,0.3133791072607637,NaN,0.0,0.0,0.0,0.0,4.773959005888173e-15,4.773959005888173e-15
dense,2.2426917521555083,8,NaN,5,1.0950738200146843,NaN,1.0507365385681688,1.050014534331166,uniform,8,2.6544512088488457,1.44298079939255,long,0.9559309478402537,NaN,NaN,12,1.3520268164408684,12.14956674753842,0.085,17,1.1926591409277607,uniform01,1.0327131735407657,0.7156804678035257,8.419770209453244,NaN,NaN,NaN,1.8395610045305433,1.554207618770542,NaN,0.7281708384550204,0.7276704823606727,0.82652460894132,0.7588970140667681,0.6624696241576262,0.9369679880772007,0.2843195321964743,7.419770209453244,NaN,NaN,NaN,0.8395610045305433,0.554207618770542,NaN,0.2718291615449796,0.27232951763932733,0.17347539105868004,0.24110298593323187,0.3375303758423738,0.06303201192279928
sparse,1.3636487541352251,4,NaN,5,1.0504958704891678,NaN,1.0508167612611692,1.0503086842055005,uniform,8,1.5146880230866935,1.0508167612611687,long,1.0512178747261665,NaN,NaN,12,1.0511109111354995,3.2373453716011467,0.319,17,1.051244615623837,uniform01,1.0327131735407657,0.9827718890792383,3.080789620938051,NaN,NaN,NaN,1.4414387730823746,1.297703657199569,NaN,1.0000000000000004,0.9995164931942478,1.0004071636258969,0.9996946272805777,1.0003817158992747,1.0002799249928005,0.017228110920761708,2.080789620938051,NaN,NaN,NaN,0.44143877308237456,0.29770365719956904,NaN,4.440892098500626e-16,0.0004835068057521541,0.00040716362589687805,0.00030537271942232547,0.00038171589927471494,0.00027992499280049543
