n_base,m_base,density,length,weight_mode,dist_type,dual2,n,mu_pes_bound,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dual1,opt_mc,cdsrse_lp_adaptive,sdp_orig,lp_cons,dsrse_lp_adaptive,alpha_pes_over_pstar,p_star,m,dsrse_weight,alpha_pes,alpha_gap,alpha_pes_over_pstar_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,mu_pes_bound_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,cdsrse_lp_adaptive_gap,dsrse_lp_adaptive_gap,alpha_over_opt,alpha_pes_over_pstar_over_opt,lp_cons_over_opt,lp_orig_over_opt,sdp_orig_over_opt,dual1_over_opt,dual2_over_opt,mu_pes_bound_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,cdsrse_lp_adaptive_over_opt,dsrse_lp_adaptive_over_opt
12,18,dense,long,uniform01,uniform,2.6987202394765086,12.0,NaN,1.5196657251018892,NaN,1.4956645109586018,1.3294332124131867,3.045392837844702,1.7361154498928488,1.2282926832406065,NaN,NaN,1.399284116847357,24.140423590370013,0.06,30.0,1.64448176171762,1.384950062825822,0.18935464418287734,13.013052812707723,NaN,NaN,NaN,0.7490079063930739,0.5584525984386159,NaN,0.12954524544826854,0.23578071216323898,0.05184789456499471,0.1323061960591534,0.29016812672762904,0.2007450525898209,0.7977292425519856,13.904849237912106,NaN,NaN,NaN,1.7541418907553992,1.5544589731305432,NaN,0.8615006053030129,0.7657516166308167,0.947219127517767,0.8753252700997974,0.7074948174192076,0.8059856370345183
12,18,sparse,long,uniform01,uniform,1.928845988538913,6.0,NaN,1.2240688487010878,NaN,1.2689799045138408,1.1758737164929558,2.17938366144402,1.327587059879321,1.2255270735904538,NaN,NaN,1.2674824720604985,15.907709072482277,0.08159999999999999,30.0,1.304392154414251,1.2224868224728702,0.08175767546489157,10.87169772744657,NaN,NaN,NaN,0.6528995791863974,0.4763431519508412,NaN,0.04420398604832526,0.12961115224788475,0.01569279273880104,0.08614779935136654,0.07710175591631513,0.04598285015667235,0.9208336382730301,11.982422511656829,NaN,NaN,NaN,1.641612612314953,1.4528960448848056,NaN,0.9558543788677727,0.8857224900940538,0.9825285239921075,0.92202529362734,0.9231236960850278,0.9547264434587921
14,21,dense,short,uniform01,uniform,3.482240543384486,14.0,NaN,2.4085765279146054,NaN,2.0896892106229954,2.101476527152278,3.780312578866103,2.6208897949020837,2.1086754234792404,NaN,NaN,2.3316495708183154,23.05316628233023,0.09269999999999999,21.0,2.458266232411165,2.1107043850112763,0.1980999017973471,8.02127141235687,NaN,NaN,NaN,0.4532253181821238,0.3383641497933798,NaN,0.2083665738786296,0.20895716352484178,0.06376563247910293,0.08698455002197729,0.19982203519049374,0.10915623256858324,0.8053388544290669,8.79593118610754,NaN,NaN,NaN,1.4423775414819895,1.3286482133502229,NaN,0.7973205186603682,0.8018179670277931,0.9379510108333288,0.918991913585817,0.8045647045445573,0.8896404478179998
14,21,sparse,short,uniform01,uniform,2.393718324075712,7.0,NaN,1.6532109077200752,NaN,1.4583141186982158,1.4386224865849835,2.660038078051138,1.7580419163702448,1.484347272488067,NaN,NaN,1.5958019742868064,13.107245919635645,0.1166,21.0,1.7288459560796625,1.432147691314593,0.17305968286490908,7.009295796418026,NaN,NaN,NaN,0.5600329796169567,0.3923099112536498,NaN,0.16910336668592132,0.1769039918020947,0.016744141096059883,0.0665573900369378,0.14472294475427575,0.08046394943682204,0.8146265899458689,7.455593520032574,NaN,NaN,NaN,1.5130686323698168,1.361582054322073,NaN,0.8295104372193444,0.8183095483611943,0.9833929100218145,0.9403705863472187,0.8443184765200232,0.9077155438828168
14,21,dense,long,uniform01,uniform,3.0594127038314127,14.0,NaN,1.8862278374892572,NaN,1.8438374518874503,1.7182736419752618,3.675218449303827,2.054987796442543,1.5184024899274033,NaN,NaN,1.6290487489051866,34.23012386685214,0.052500000000000005,35.4,1.9679515513772685,1.7690584611733229,0.13364290079547012,15.84871089157318,NaN,NaN,NaN,0.8371178670782322,0.5223509076642955,NaN,0.10493371037994396,0.1696800693456265,0.04586691161728779,0.09004218954255941,0.24660063735237428,0.19111615009762822,0.8608608110645708,16.65709350007286,NaN,NaN,NaN,1.7884380898349461,1.4887741470424605,NaN,0.8972498304269144,0.8361478569117645,0.9576463445593468,0.9178778777930302,0.7388863780874805,0.792729159620941
14,21,sparse,long,uniform01,uniform,2.1462051040432923,7.0,NaN,1.3300952273121331,NaN,1.2928353305359281,1.2253472387674536,2.610538304225841,1.4409870555610715,1.1220918194161844,NaN,NaN,1.1992098755946519,22.92165470878667,0.060300000000000006,35.4,1.3746779961751396,1.2505135851069948,0.1275020947618503,15.728214966377323,NaN,NaN,NaN,0.8759529086791631,0.527168192987391,NaN,0.10291934979509829,0.16400109710759433,0.0501601386526657,0.08781463190828166,0.19967522993442333,0.13441215160612313,0.8678173619124477,15.906912293436081,NaN,NaN,NaN,1.8116320296918877,1.4893992945742547,NaN,0.8971873311051651,0.8503527037516273,0.9539835842868738,0.9230445354654758,0.7786966684300157,0.8322141902431734
16,24,dense,short,uniform01,uniform,3.5999372429443577,16.0,NaN,2.4919861364200124,NaN,2.230976206251296,2.147950078411614,3.840740946040593,2.667503953038522,2.2457598038405435,NaN,NaN,2.491993565457373,28.13842367448269,0.0823,24.0,2.4530846504142723,2.205746857555042,0.18254042647321742,9.522426575677084,NaN,NaN,NaN,0.44314590889790095,0.35470195620018774,NaN,0.17297272781858625,0.2116749719112761,0.08529394352922295,0.06968635730517085,0.16454100152066828,0.06801527795033582,0.8268954409767612,10.548596804301095,NaN,NaN,NaN,1.4398257748280563,1.3495527303131873,NaN,0.8363534770810809,0.8052284518509933,0.9196180000483196,0.9342014783451101,0.8418955860524313,0.9342042633596748
16,24,sparse,short,uniform01,uniform,2.5733983986151654,8.0,NaN,1.779748454973864,NaN,1.721926167371239,1.585062545514663,2.830175208600113,1.888269185952328,1.7197308714941386,NaN,NaN,1.8616093612848517,18.1278423988199,0.09979999999999999,24.0,1.857302920150201,1.6647749974016446,0.13388846195814014,8.588395459926527,NaN,NaN,NaN,0.5180924399468007,0.38372196412987886,NaN,0.10479085735033151,0.18385180308261964,0.019106419556807065,0.06546967853910232,0.10522607052277237,0.018799817175286216,0.881640716157762,9.600242663324149,NaN,NaN,NaN,1.498819781445909,1.362834503554799,NaN,0.9119071476574482,0.8394261566659279,0.9836007143300867,0.9425289933311427,0.9107445507706101,0.9858813431549852
16,24,dense,long,uniform01,uniform,3.0220768812029606,16.0,NaN,1.8451873473624307,NaN,1.7409138440674714,1.5720331076237293,3.6062711643482985,2.066292948181615,1.65828358918845,NaN,NaN,1.8665425832150373,38.742809372398064,0.045,41.5,1.9189012089058797,1.6957689476648539,0.18808180892397455,17.629045096360592,NaN,NaN,NaN,0.7570535646304799,0.4692032396287824,NaN,0.1667955791700261,0.26505017508965006,0.07883562881085339,0.11928333973045047,0.21047649897125903,0.10126252176895227,0.8206817669087868,18.749911239107032,NaN,NaN,NaN,1.745285520875392,1.4625597420067942,NaN,0.8425300224731036,0.7607987575078135,0.92866851749872,0.8929940689127541,0.8025404096973653,0.9033291164535201
16,24,sparse,long,uniform01,uniform,2.2937046640839465,8.0,NaN,1.4494202612684377,NaN,1.351757787982375,1.2966858312751095,2.728566122066545,1.5560620314889007,1.3730400994365475,NaN,NaN,1.5225824734183053,28.933651589792284,0.0519,41.5,1.5290979915254943,1.3095147836242016,0.1538116402596461,17.59822698940265,NaN,NaN,NaN,0.7896341991052929,0.49984006533756525,NaN,0.12927975529804192,0.1771084863804266,0.0190899567671715,0.07669749598480166,0.1171279181698404,0.02004324129854419,0.8415569284029165,18.594150492899978,NaN,NaN,NaN,1.753507293957778,1.4740444903017398,NaN,0.8687043065300941,0.8333124290902401,0.9826716162866553,0.9314668900966474,0.8823813393369475,0.9784844322442847
18,27,dense,short,uniform01,uniform,3.965588057288172,18.0,NaN,2.6157663932491104,NaN,2.3430538606420006,2.2594099680596837,4.248768333240315,2.880883232570995,2.359467290112663,NaN,NaN,2.596782163035477,34.97705742548564,0.0702,27.0,2.674317148912324,2.3732214067270063,0.17986508041878208,11.028495237086585,NaN,NaN,NaN,0.49908859601558453,0.3892188336370257,NaN,0.202679200081669,0.2409862168719513,0.0787001329755022,0.10232605233528376,0.18748027919371207,0.10844173917758212,0.8237825746963945,12.141088201714778,NaN,NaN,NaN,1.474814489252511,1.37651814986932,NaN,0.8133109437243599,0.7842768295899698,0.9282976549263593,0.9079737643218238,0.819008303924556,0.9013840386436013
18,27,sparse,short,uniform01,uniform,2.937101831303081,9.0,NaN,1.9586287716715298,NaN,1.9350526813090965,1.8510183011576675,3.3620601352317223,2.114650419843606,1.9592644195594744,NaN,NaN,2.0617246718155657,23.699538025990666,0.0854,27.0,2.0586111204376327,1.946231457479144,0.07974724580546612,10.601607273619043,NaN,NaN,NaN,0.6612090629589444,0.4363165092965494,NaN,0.08799075498691374,0.12821963189983268,0.031512672078060376,0.07663922723408642,0.07901058131831791,0.03323845430240829,0.9203561209058291,11.207307743917042,NaN,NaN,NaN,1.589889328128463,1.3889302003497588,NaN,0.9150697737795395,0.8753306380042543,0.9734994971839754,0.9262187041848672,0.9265192966052406,0.9749718688576647
18,27,dense,long,uniform01,uniform,3.4225574598714608,18.0,NaN,2.0232236467646856,NaN,1.8727975217488715,1.8021292936062125,4.084972989831132,2.234872588340398,1.8334952884209355,NaN,NaN,2.0086192933189357,56.55140685768991,0.0376,51.1,2.051664490012363,1.8701572133721336,0.16649758470469345,23.41068355454948,NaN,NaN,NaN,0.8689175354872068,0.5572410869145114,NaN,0.17304175695490942,0.20512314293369252,0.09242228236553146,0.11154616142668136,0.18899145098386944,0.11682380226384004,0.8368070838261524,25.30408541083079,NaN,NaN,NaN,1.8278326071664814,1.5314329227211247,NaN,0.8379884972053816,0.8063678005664127,0.9180230231987926,0.9052970882188495,0.8204026028089938,0.89876232935969
18,27,sparse,long,uniform01,uniform,2.6750516614701247,9.0,NaN,1.6070333950391915,NaN,1.5260905257920434,1.4107467570225833,3.236546091688685,1.7367781197602992,1.515575394399257,NaN,NaN,1.6279687663378422,39.77588706634696,0.0415,51.1,1.6896259554853408,1.518595229600202,0.131361498882157,22.443946372880117,NaN,NaN,NaN,0.9285066983818119,0.5737933758747706,NaN,0.12365120858628967,0.20274695396716505,0.03145199947175076,0.08149563952312047,0.12850454326385763,0.06795927900837126,0.874374920044358,22.902112027894855,NaN,NaN,NaN,1.8635345844496105,1.5402380022148834,NaN,0.8786905525978564,0.8122780572669162,0.9728507840244636,0.9252957397119821,0.8726361629938247,0.9373498824147587
