density,dual2,n,dsrse_lp_adaptive_failed_solves,lp_cons_status,mu_pes_bound,cdsrse_lp_adaptive_failed_solves,instance_id,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dist_type,dsrse_lp_adaptive_total_solves,n_base,dual1,lp_orig_status,opt_mc,length,cdsrse_lp_adaptive,sdp_orig,lp_cons,m_base,dsrse_lp_adaptive,alpha_pes_over_pstar,p_star,m,cdsrse_lp_adaptive_total_solves,dsrse_weight,weight_mode,alpha_pes,alpha_over_opt,alpha_pes_over_pstar_over_opt,lp_cons_over_opt,lp_orig_over_opt,sdp_orig_over_opt,dual1_over_opt,dual2_over_opt,mu_pes_bound_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,cdsrse_lp_adaptive_over_opt,dsrse_lp_adaptive_over_opt,alpha_gap,alpha_pes_over_pstar_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,mu_pes_bound_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,cdsrse_lp_adaptive_gap,dsrse_lp_adaptive_gap
dense,1.8363353122147246,8,500,NO_OPTIMIZER,NaN,500,3,1.3656210540676696,NaN,1.3535376934056962,1.3535376934056962,uniform,500,8,2.3077883464005096,NO_OPTIMIZER,1.3663525577032722,long,NaN,NaN,NaN,12,NaN,18.541612238434183,0.073,23,500,1.3653108136806054,uniform01,1.3535376934056953,0.9906211144222413,13.57015225235947,NaN,NaN,NaN,1.689013815204265,1.3439688767454392,NaN,0.990621114422242,0.990621114422242,0.9992375730430674,0.999464630390247,NaN,NaN,0.009378885577758678,12.57015225235947,NaN,NaN,NaN,0.6890138152042651,0.3439688767454392,NaN,0.009378885577758012,0.009378885577758012,0.000762426956932627,0.0005353696097529781,NaN,NaN
sparse,1.1837289899591512,4,500,NO_OPTIMIZER,NaN,500,3,0.613706992490534,NaN,0.6042592350428344,0.5621743422675568,uniform,500,8,1.476597844179963,NO_OPTIMIZER,0.6524272998303782,long,NaN,NaN,NaN,12,NaN,7.193562321938528,0.084,23,500,0.6042592350428344,uniform01,0.6042592350428364,0.9261709851809317,11.025845061677757,NaN,NaN,NaN,2.263237366927867,1.8143461965293357,NaN,0.9261709851809286,0.8616658781962591,0.9261709851809286,0.9406519203750197,NaN,NaN,0.07382901481906834,10.025845061677757,NaN,NaN,NaN,1.263237366927867,0.8143461965293357,NaN,0.07382901481907145,0.13833412180374094,0.07382901481907145,0.05934807962498034,NaN,NaN
dense,1.9412112719713777,8,500,NO_OPTIMIZER,NaN,500,4,1.4223139397922107,NaN,1.3798959144358127,1.3517839740931883,uniform,500,8,2.2260837880769277,NO_OPTIMIZER,1.4873715540310946,short,NaN,NaN,NaN,12,NaN,9.274934817543956,0.12,12,500,1.4734934379293982,uniform01,1.1129921781052747,0.7482946511171524,6.235788759309604,NaN,NaN,NaN,1.4966561529590674,1.3051286793204298,NaN,0.927741229618114,0.9088408141392545,0.9906693683470793,0.9562600117888742,NaN,NaN,0.25170534888284757,5.235788759309604,NaN,NaN,NaN,0.4966561529590674,0.30512867932042975,NaN,0.072258770381886,0.09115918586074545,0.009330631652920696,0.04373998821112579,NaN,NaN
sparse,1.8564863670041396,4,500,NO_OPTIMIZER,NaN,500,4,1.3678847533410425,NaN,1.2468193803343142,1.2604222312339466,uniform,500,8,2.1047033686419647,NO_OPTIMIZER,1.4018941036477923,short,NaN,NaN,NaN,12,NaN,8.266036969680702,0.125,12,500,1.3715121802476105,uniform01,1.0332546212100877,0.737041848254809,5.896334786038472,NaN,NaN,NaN,1.5013283550914656,1.324270044487296,NaN,0.8893819990326183,0.8990851933496764,0.978327946938983,0.9757404284544346,NaN,NaN,0.262958151745191,4.896334786038472,NaN,NaN,NaN,0.5013283550914656,0.3242700444872959,NaN,0.11061800096738172,0.1009148066503236,0.02167205306101705,0.02425957154556535,NaN,NaN
dense,1.7846792293184235,8,500,NO_OPTIMIZER,NaN,500,4,1.0969771423849666,NaN,1.0543818833192338,1.0550402530255174,uniform,500,8,2.448056134114258,NO_OPTIMIZER,1.136273322530235,long,NaN,NaN,NaN,12,NaN,12.735908647760425,0.07,24,500,1.1215784231722867,uniform01,0.8915136053432299,0.7845943292569976,11.208490417957107,NaN,NaN,NaN,2.1544606263068524,1.5706425504598918,NaN,0.9279298056310548,0.9285092170219845,0.9870674607362725,0.9654166129168954,NaN,NaN,0.21540567074300243,10.208490417957107,NaN,NaN,NaN,1.1544606263068524,0.5706425504598918,NaN,0.07207019436894524,0.07149078297801548,0.012932539263727505,0.0345833870831046,NaN,NaN
sparse,1.66971395512763,4,500,NO_OPTIMIZER,NaN,500,4,1.074390921138665,NaN,0.9934253957515016,0.9911575394976315,uniform,500,8,2.159664282874008,NO_OPTIMIZER,1.0818669425844856,long,NaN,NaN,NaN,12,NaN,14.858560089053832,0.06,24,500,1.0675605759358644,uniform01,0.8915136053432299,0.8240510641849189,13.734184403081981,NaN,NaN,NaN,1.9962383523012164,1.5433635037769333,NaN,0.9182509943212565,0.9161547510915186,0.9867762235026384,0.9930897034084794,NaN,NaN,0.1759489358150811,12.734184403081981,NaN,NaN,NaN,0.9962383523012164,0.5433635037769333,NaN,0.08174900567874355,0.08384524890848144,0.013223776497361617,0.006910296591520648,NaN,NaN
dense,1.9838789189241945,8,500,NO_OPTIMIZER,NaN,500,5,1.1348143489484643,NaN,0.9335593047909149,0.789645094830313,uniform,500,8,1.9588172294572268,NO_OPTIMIZER,1.3781130511898934,short,NaN,NaN,NaN,12,NaN,5.404833197687944,0.169,12,500,1.2645776274700062,uniform01,0.9134168104092626,0.662802525250449,3.9219084334346093,NaN,NaN,NaN,1.421376299836897,1.4395618104126287,NaN,0.6774185209151449,0.5729900708425306,0.9176153047662831,0.8234551932939322,NaN,NaN,0.337197474749551,2.9219084334346093,NaN,NaN,NaN,0.42137629983689706,0.43956181041262865,NaN,0.3225814790848551,0.4270099291574694,0.08238469523371694,0.17654480670606776,NaN,NaN
sparse,1.275684118731897,4,500,NO_OPTIMIZER,NaN,500,5,0.9170502004456343,NaN,0.9378645041222937,0.789645094830313,uniform,500,8,1.3457160793192413,NO_OPTIMIZER,0.9329612444391564,short,NaN,NaN,NaN,12,NaN,3.1893828566228906,0.258,12,500,0.9146854583474626,uniform01,0.8228607770087057,0.8819881660822505,3.4185587832645368,NaN,NaN,NaN,1.4424136986828535,1.367349529613919,NaN,1.0052555877453246,0.846385741676765,0.9804109911310623,0.9829456538646609,NaN,NaN,0.1180118339177495,2.4185587832645368,NaN,NaN,NaN,0.4424136986828535,0.3673495296139191,NaN,0.005255587745324641,0.15361425832323505,0.019589008868937663,0.01705434613533907,NaN,NaN
dense,1.6390479910556648,8,500,NO_OPTIMIZER,NaN,500,5,0.789645094830313,NaN,0.8506496410578633,0.789645094830313,uniform,500,8,1.9658036338073397,NO_OPTIMIZER,0.9332423788121416,long,NaN,NaN,NaN,12,NaN,11.71047192832388,0.078,22,500,0.8688503704314807,uniform01,0.9134168104092626,0.9787562493378049,12.54815704279237,NaN,NaN,NaN,2.1064234527256174,1.7562940006452488,NaN,0.9114991564577204,0.8461307724102677,0.9310018384906386,0.8461307724102677,NaN,NaN,0.021243750662195082,11.54815704279237,NaN,NaN,NaN,1.1064234527256174,0.7562940006452488,NaN,0.0885008435422796,0.15386922758973232,0.06899816150936144,0.15386922758973232,NaN,NaN
sparse,1.283625630101676,4,500,NO_OPTIMIZER,NaN,500,5,0.789645094830313,NaN,0.8228607770087071,0.789645094830313,uniform,500,8,1.4447563228213505,NO_OPTIMIZER,0.8228607770087071,long,NaN,NaN,NaN,12,NaN,4.840357511815916,0.17,22,500,0.8228607770087071,uniform01,0.8228607770087057,0.9999999999999983,5.88235294117646,NaN,NaN,NaN,1.7557724990530965,1.5599548137024561,NaN,1.0,0.9596338978519052,1.0,0.9596338978519052,NaN,NaN,1.6653345369377348e-15,4.88235294117646,NaN,NaN,NaN,0.7557724990530965,0.5599548137024561,NaN,0.0,0.040366102148094773,0.0,0.040366102148094773,NaN,NaN
